ID,statement
nl_1_0001000,Organizers of events should be able to make a request for a vaccination certificate upon entry.
nl_2_0001000,
nl_3_0001000,
nl_4_0001000,The Netherlands should make its exit from the European Union (EU).
nl_5_0001000,
nl_6_0001000,"During the upcoming New Year's Eve, it should be given permission to set off decorative fireworks again."
nl_7_0001000,There should be an additional tax on making a purchase of meat.
nl_8_0001000,
nl_9_0001000,
nl_10_0001000,The government should effect the abolition of the ban on face-covering clothing.
nl_11_0001000,"The national government, rather than provinces and municipalities, should make a decision where new residential areas are built."
nl_12_0001000,The government should make reductions in the VAT on cultural activities to 5 percent.
nl_13_0001000,The Netherlands should effect the construction of a new nuclear power plant.
nl_14_0001000,
nl_15_0001000,
nl_16_0001000,The Dutch government should make an apology for the historical slave trade.
nl_17_0001000,
nl_18_0001000,Primary school teachers should have earnings as much as secondary school teachers.
nl_19_0001000,
nl_20_0001000,The Netherlands should effect the introduction of an additional flight tax for short-distance flights.
nl_21_0001000,Asylum seekers with a temporary residence permit should effect the completion of integration before getting a rental home.
nl_22_0001000,Both the purchase and sale of soft drugs by coffee shops should be given legal authorization.
nl_23_0001000,
nl_24_0001000,
nl_25_0001000,An increase in minimum wages should no longer automatically give rise to an increase in welfare benefits.
nl_26_0001000,New residential areas should have a proportion of at least 40 percent green space.
nl_27_0001000,
nl_28_0001000,
nl_29_0001000,The Netherlands should effect the acceptance of more refugees than it currently does.
nl_30_0001000,
es_1_0001000,Limiting rights and freedoms is necessary to take up the fight against organized crime.
es_2_0001000,
es_3_0001000,
es_4_0001000,
es_5_0001000,It should be easier for companies to effect the dismissal of workers.
es_6_0001000,The state should take measures to effect the redistribution of wealth from the rich to the poor.
es_7_0001000,"The government must effect an increase in spending on public health care, even if this means increasing taxes."
es_8_0001000,
es_9_0001000,The working day should be given a reduction without reducing workers' wages.
es_10_0001000,Governments should make as few interventions in the economy as possible.
es_11_0001000,Taxes on fossil fuels must be raised to effect the financing of the Green Transition.
es_12_0001000,
es_13_0001000,The future Spanish government should effect an increase in irrigated agricultural areas by means of large water transfers.
es_14_0001000,To better defend Spain's interests in Europe we must effect the recovery of more sovereignty.
es_15_0001000,The Spanish government should give a boost to the strengthening of NATO in Europe.
es_16_0001000,The best way to solve the conflict in Catalonia is for its citizens to be able to cast a vote on their future in a referendum.
es_17_0001000,Negotiating with pro-independence supporters effects a weakening of the State.
es_18_0001000,
es_19_0001000,The right to self-determination must be given recognition by the Constitution.
es_20_0001000,The policies of linguistic immersion in the native language of bilingual Autonomous Communities have a detrimental effect on Spanish.
es_21_0001000,It is necessary to effect the repeal of the Law of Democratic Memory passed during this legislature.
es_22_0001000,
es_23_0001000,Immigrants should make payments for their own health services.
es_24_0001000,
de_1_0001000,A general speed limit is to take effect across all highways.
de_2_0001000,Germany is to effect an increase in its defense spending.
de_3_0001000,Young people over the age of 16 are to be granted permission to vote in Bundestag elections.
de_4_0001000,
de_5_0001000,The ability of landlords to increase housing rents is to be given stricter restrictions by law.
de_6_0001000,
de_7_0001000,
de_8_0001000,All employed persons are to be given requirement for being insured in the statutory pension scheme.
de_9_0001000,
de_10_0001000,
de_11_0001000,"The traditional family of father, mother and children is to be given a stronger boost than other living arrangements."
de_12_0001000,Donations from companies to political parties should continue to be given permission.
de_13_0001000,
de_14_0001000,
de_15_0001000,
de_16_0001000,"The Nord Stream 2 Baltic Sea pipeline, which transports gas from Russia to Germany, is to be given permission to go into operation as planned."
de_17_0001000,
de_18_0001000,Female civil servants are to be given permission to wear headscarves while on duty.
de_19_0001000,
de_20_0001000,
de_21_0001000,The federal government is to make provision for more financial support for projects to combat anti-Semitism.
de_22_0001000,Chinese companies should not be given permission to receive contracts for the expansion of the communications infrastructure in Germany.
de_23_0001000,The state should continue to effect the collection of church tax for religious communities.
de_24_0001000,The controlled sale of cannabis is to be given general approval.
de_25_0001000,Germany is to make its exit from the European Union.
de_26_0001000,
de_27_0001000,
de_28_0001000,
de_29_0001000,Facial recognition software should be given permission to be used for video surveillance in public places.
de_30_0001000,
de_31_0001000,Organic agriculture should be given a stronger boost than conventional agriculture.
de_32_0001000,Islamic associations are to be given recognition by the state as religious communities.
de_33_0001000,
de_34_0001000,
de_35_0001000,
de_36_0001000,The statutory minimum wage is to be given an increase to at least 12 euros by 2022 at the latest.
de_37_0001000,Air traffic is to be given heavier taxation.
de_38_0001000,Companies are to make decision for themselves whether to allow their employees to work from home.
pl_1_0001000,
pl_2_0001000,Social transfers should be given an increase to reduce the effects of inflation on citizens.
pl_3_0001000,The state should give funding for private visits to specialists if the waiting time at a public facility exceeds three months.
pl_4_0001000,The state should make provision for a free nursery place for every child.
pl_5_0001000,Schools should have more freedom to make a choice of the content covered in the curriculum.
pl_6_0001000,The state should effect the construction of low-rent apartments for rent.
pl_7_0001000,Taxes should be given an increase for top earners.
pl_8_0001000,
pl_9_0001000,
pl_10_0001000,All entrepreneurs should make payment of the same health premium regardless of income.
pl_11_0001000,
pl_12_0001000,Poland should effect the adoption of the migrant relocation solutions adopted by the European Union.
pl_13_0001000,
pl_14_0001000,The share of defense spending in Poland's GDP should be given a further increase.
pl_15_0001000,The powers of local governments should be given an increase at the expense of the central government.
pl_16_0001000,
pl_17_0001000,
pl_18_0001000,
pl_19_0001000,Public media funding from the state budget should be given restrictions.
pl_20_0001000,The powers of the secret services to track the activities of citizens on the Internet should be given restrictions.
hu_1_0001000,The EU's rule of law mechanism makes threats against Hungary's sovereignty.
hu_2_0001000,Hungarian foreign policy should be given guidance solely by Hungarian economic interests.
hu_3_0001000,Hungary should make a decision by referendum whether to remain part of the EU.
hu_4_0001000,
hu_5_0001000,
hu_6_0001000,
hu_7_0001000,
hu_8_0001000,
hu_9_0001000,The age of compulsory schooling should be given an increase back to 18.
hu_10_0001000,Education spending should be given an increase to at least the OECD average of 5.2 per cent (GDP).
hu_11_0001000,Teachers' salaries should be given a twofold increase.
hu_12_0001000,Political influence has been given a reduction by changing the university model (reorganisation into a trust).
hu_13_0001000,Only men and women should be given permission to marry.
hu_14_0001000,
hu_15_0001000,The state should take targeted measures to give a boost to equal participation of fathers and mothers in child-rearing.
hu_16_0001000,"The Hungarian government should give ratification to the Istanbul Convention, which combats violence against women and domestic violence."
hu_17_0001000,One effective way to make reductions in rents is to conclude favourable gas supply contracts with Russia.
hu_18_0001000,
hu_19_0001000,Give an increase in the contribution of the wealthier to the public purse (abolition of the one-band tax).
hu_20_0001000,
hu_21_0001000,"A price freeze on some basic foodstuffs (e.g. chicken tail, milk) is the right step to take up the fight against inflation."
hu_22_0001000,
hu_23_0001000,The current three-month unemployment benefit should be given an extension.
hu_24_0001000,A family tax credit is a better way to give support to families than increasing the family allowance.
hu_25_0001000,"It is right that it is the Education Office, rather than parents and kindergarten teachers, that makes a decision on the school entry maturity of children over the age of six."
hu_28_0001000,The use of medical cannabis should be given legal authorization in Hungary.
hu_29_0001000,
hu_30_0001000,
hu_31_0001000,
hu_32_0001000,
hu_33_0001000,
hu_34_0001000,
hu_36_0001000,Polluting companies should be given heavier taxation.
hu_37_0001000,"In larger cities, car traffic should be given restrictions through various measures (P+R parking, construction of cycle paths, improvement of public transport)."
hu_38_0001000,The redevelopment of urban green spaces (e.g. the Liget project in Budapest) has a need for a broad social dialogue.
hu_39_0001000,
hu_40_0001000,
it_1_0001000,
it_2_0001000,
it_3_0001000,
it_4_0001000,
it_5_0001000,European economic integration has gone too far: member states should effect the regaining of more autonomy.
it_6_0001000,
it_7_0001000,
it_8_0001000,
it_9_0001000,
it_10_0001000,Citizens should be given a guarantee of freedom of choice in end-of-life matters (euthanasia).
it_11_0001000,Recreational use of marijuana/cannabis should be given permission.
it_12_0001000,A law is needed to effect the prevention of companies' relocating their production abroad.
it_13_0001000,
it_14_0001000,Businesses should be able to effect the dismissal of employees more easily.
it_15_0001000,
it_16_0001000,"The introduction of a single income tax rate (""flat tax"") would have benefits for the Italian economy."
it_17_0001000,
it_18_0001000,
it_19_0001000,Beach concessions to private individuals should be given time limits.
it_20_0001000,The use of nuclear power plants for the purpose of producing energy should be given a boost.
it_21_0001000,
it_22_0001000,Italy should effect the construction of more incinerators/thermal power plants.
it_23_0001000,Drilling is necessary to make discoveries of more energy resources.
it_24_0001000,
it_25_0001000,
it_26_0001000,
it_27_0001000,Italy should effect the cessation of sending arms and war material to the Ukrainian government.
it_28_0001000,
it_29_0001000,
it_30_0001000,
ch_18_0001000,
ch_19_0001000,The federal government should make an allocation of more funding for health insurance premium subsidies.
ch_20_0001000,
ch_21_0001000,"As part of the reform of the BVG (occupational pension plan), pensions are to be given a reduction (lowering the minimum conversion rate from 6.8% to 6%)."
ch_22_0001000,Paid parental leave should be given an increase beyond today's 14 weeks of maternity leave and two weeks of paternity leave.
ch_23_0001000,The federal government should make provision for more financial support for public housing construction.
ch_24_0001000,
ch_25_0001000,
ch_26_0001000,"Insured persons should make a greater contribution to health care costs (e.g., increase the minimum deductible)."
ch_27_0001000,The Federal Council's ability to restrict private and economic life in the event of a pandemic should be given stricter restrictions.
ch_28_0001000,The federal government should be given the authority to make a determination on the hospital offering (national hospital planning with regard to locations and range of services).
ch_29_0001000,
ch_30_0001000,The federal government should effect the raising of the requirements for the high school.
ch_31_0001000,
ch_32_0001000,
ch_33_0001000,More qualified workers from non-EU/EFTA countries should be given permission to work in Switzerland (increase third-country quota).
ch_34_0001000,
ch_35_0001000,
ch_36_0001000,Cannabis use should be given legal authorization.
ch_37_0001000,Doctors should be given permission to administer direct active euthanasia.
ch_38_0001000,
ch_39_0001000,
ch_40_0001000,
ch_41_0001000,Married couples be given separate taxation (individual taxation).
ch_42_0001000,
ch_43_0001000,The differences between cantons with high and low financial capacity should be given a further reduction through fiscal equalization.
ch_44_0001000,
ch_45_0001000,
ch_46_0001000,Private households should be free to make a choice of their electricity supplier (complete liberalization of the electricity market).
ch_47_0001000,
ch_48_0001000,
ch_49_0001000,
ch_50_0001000,Switzerland should have a ban on the registration of new passenger cars with internal combustion engines starting in 2035.
ch_51_0001000,
ch_52_0001000,It's fair that environmental and landscape protection rules are being relaxed to give permission for the development of renewable energy.
ch_53_0001000,The construction of new nuclear power plants should be given permission again.
ch_54_0001000,The state should give a guarantee of a comprehensive public service offering also in rural regions.
ch_55_0001000,
ch_56_0001000,
ch_57_0001000,
ch_58_0001000,
ch_59_0001000,
ch_0_0001000,
ch_1_0001000,
ch_2_0001000,
ch_3_0001000,
ch_4_0001000,
ch_5_0001000,"There should be a popular initiative aims to make reductions in television and radio fees (CHF 200 per household, exemption for businesses)."
ch_6_0001000,The voting age should be given a reduction to 16.
ch_7_0001000,
ch_8_0001000,"The army's target number of soldiers should have an expansion to at least 120,000."
ch_9_0001000,The Swiss Armed Forces should have an expansion of their cooperation with NATO.
ch_10_0001000,"The Federal Council should be allowed to give authorization to other states to re-export Swiss weapons in cases of a war of aggression in violation of international law (e.g., the attack on Ukraine)."
ch_11_0001000,
ch_12_0001000,Switzerland should effect the termination of the Schengen agreement with the EU and effect the reintroduction of more security checks directly at the border.
ch_13_0001000,
ch_14_0001000,
ch_15_0001000,Companies should be obliged to give assurances that their subsidiaries and suppliers operating abroad comply with social and environmental standards.
ch_16_0001000,Switzerland should effect the termination of the Bilateral Agreements with the EU and seek a free trade agreement without the free movement of persons.
ch_17_0001000,Switzerland should make a return to a strict interpretation of neutrality (renounce economic sanctions to a large extent).
