ID,statement
nl_1_0110000,What should be able to be requested by organizers of events upon entry is a vaccination certificate.
nl_2_0110000,What should be spent on defense by the Netherlands is more money.
nl_3_0110000,What all parents should have for at least three days a week is free childcare.
nl_4_0110000,What should be exited by the Netherlands is the European Union (EU).
nl_5_0110000,What should be introduced instead of the tax on car ownership is a tax per kilometer driven for motorists.
nl_6_0110000,What should be allowed to be set off again during the upcoming New Year's Eve are decorative fireworks.
nl_7_0110000,What should be imposed on purchasing meat is an additional tax.
nl_8_0110000,What public broadcasting should be given is less funding.
nl_9_0110000,What should be established instead of the existing health insurance companies is a national healthcare fund for everyone.
nl_10_0110000,What should be abolished by the government is the ban on face-covering clothing.
nl_11_0110000,"What should be decided by the national government, rather than provinces and municipalities, is where new residential areas are built."
nl_12_0110000,What should be reduced to 5 percent by the government is the VAT on cultural activities.
nl_13_0110000,What should be built by the Netherlands is a new nuclear power plant.
nl_14_0110000,
nl_15_0110000,"What should be received by households with two partners, one of whom works, as by households with two working partners are the same tax benefits."
nl_16_0110000,What should be apologized for by the Dutch government is the historical slave trade.
nl_17_0110000,What should be given to citizens is the opportunity to block laws passed by parliament through a referendum.
nl_18_0110000,What should be earned by primary school teachers is as much as secondary school teachers.
nl_19_0110000,
nl_20_0110000,What should be introduced by the Netherlands for short-distance flights is an additional flight tax.
nl_21_0110000,What should be completed by asylum seekers with a temporary residence permit before getting a rental home is integration.
nl_22_0110000,What the government should legalize are both the purchase and sale of soft drugs by coffee shops.
nl_23_0110000,What should be made more frequently mandatory at universities and colleges by the government is Dutch-language education.
nl_24_0110000,What should be able to be received by people who consider their lives complete is assistance with suicide.
nl_25_0110000,What should no longer automatically be the result of an increase in minimum wages is an increase in welfare benefits.
nl_26_0110000,
nl_27_0110000,What should be imposed on the activities of farming businesses are no new restrictions.
nl_28_0110000,"What relative authorities should establish so that students make a choice between vocational education, general secondary education, or pre-university education at a later age is a middle school."
nl_29_0110000,What should be accepted by the Netherlands are more refugees than it currently does.
nl_30_0110000,
es_1_0110000,
es_2_0110000,
es_3_0110000,
es_4_0110000,
es_5_0110000,
