ID,statement
nl_1_0110000,It is a vaccination certificate that organizers of events should be able to make a request for upon entry.
nl_2_0110000,
nl_3_0110000,
nl_4_0110000,It is the European Union (EU) that the Netherlands should make its exit from.
nl_5_0110000,
nl_6_0110000,It is decorative fireworks that it should be given permission to set off again during the upcoming New Year's Eve.
nl_7_0110000,It is an additional tax on making a purchase of meat that there should be.
nl_8_0110000,
nl_9_0110000,
nl_10_0110000,It is the ban on face-covering clothing that the government should effect the abolition of.
nl_11_0110000,"It is where new residential areas are built that the national government, rather than provinces and municipalities, should make a decision."
nl_12_0110000,It is the VAT on cultural activities that the government should make reduction in to 5 percent.
nl_13_0110000,It is a new nuclear power plant that the Netherlands should effect the construction of.
nl_14_0110000,
nl_15_0110000,
nl_16_0110000,It is the historical slave trade that the Dutch government should make an apology for.
nl_17_0110000,
nl_18_0110000,It is earnings as much as secondary school teachers that primary school teachers should have.
nl_19_0110000,
nl_20_0110000,It is an additional flight tax for short-distance flights that the Netherlands should effect the introduction of.
nl_21_0110000,It is integration that asylum seekers with a temporary residence permit should effect the completion of before getting a rental home.
nl_22_0110000,It is both the purchase and sale of soft drugs by coffee shops that should be given legal authorization.
nl_23_0110000,
nl_24_0110000,
nl_25_0110000,It is an increase in welfare benefits that an increase in minimum wages should no longer automatically give rise to.
nl_26_0110000,It is at least 40 percent green space that new residential areas should have a proportion of.
nl_27_0110000,
nl_28_0110000,
nl_29_0110000,It is more refugees than it currently does that the Netherlands should effect the acceptance of.
nl_30_0110000,
es_1_0110000,It is organized crime that limiting rights and freedoms is necessary to take up the fight against.
es_2_0110000,
es_3_0110000,
es_4_0110000,
es_5_0110000,It is workers that it should be easier for companies to effect the dismissal of.
es_6_0110000,It is measures that the state should take to effect the redistribution of wealth from the rich to the poor.
es_7_0110000,"It is spending on public health care that the government must effect an increase in, even if this means increasing taxes."
es_8_0110000,
es_9_0110000,It is the working day that should be given a reduction without reducing workers' wages.
es_10_0110000,It is the economy that governments should make as few interventions in as possible.
es_11_0110000,It is the Green Transition that taxes on fossil fuels must be raised to effect the financing of.
es_12_0110000,
es_13_0110000,It is irrigated agricultural areas that the future Spanish government should effect an increase in by means of large water transfers.
es_14_0110000,It is more sovereignty that we must effect the recovery of to better defend Spain's interests in Europe.
es_15_0110000,It is the strengthening of NATO in Europe that the Spanish government should give a boost to.
es_16_0110000,It is for its citizens to be able to cast a vote on their future in a referendum that the best way to solve the conflict in Catalonia is.
es_17_0110000,It is the State that negotiating with pro-independence supporters effects a weakening of.
es_18_0110000,
es_19_0110000,It is the right to self-determination that must be given recognition by the Constitution.
es_20_0110000,It is Spanish that the policies of linguistic immersion in the native language of bilingual Autonomous Communities have a detrimental effect on.
es_21_0110000,It is the Law of Democratic Memory passed during this legislature that it is necessary to effect the repeal of.
es_22_0110000,
es_23_0110000,It is immigrants' own health services that immigrants should make payments for.
es_24_0110000,
de_1_0110000,It is on all highways that a general speed limit is to take effect.
de_2_0110000,It is German defense spending that Germany is to effect an increase in.
de_3_0110000,It is Bundestag elections that young people over the age of 16 are to be granted permission to vote in.
de_4_0110000,
de_5_0110000,It is the ability of landlords to increase housing rents that is to be given stricter restrictions by law.
de_6_0110000,
de_7_0110000,
de_8_0110000,It is the statutory pension scheme that all employed persons are to be given requirement for being insured in.
de_9_0110000,
de_10_0110000,
de_11_0110000,"It is the traditional family of father, mother and children that is to be given a stronger boost than other living arrangements."
de_12_0110000,It is donations from companies to political parties that should continue to be given permission.
de_13_0110000,
de_14_0110000,
de_15_0110000,
de_16_0110000,"It is the Nord Stream 2 Baltic Sea pipeline, which transports gas from Russia to Germany that is to be given permission to go into operation as planned."
de_17_0110000,
de_18_0110000,It is headscarves that female civil servants are to be given permission to wear while on duty.
de_19_0110000,
de_20_0110000,
de_21_0110000,It is more financial support for projects to combat anti-Semitism that the federal government is to make provision for.
de_22_0110000,It is contracts for the expansion of the communications infrastructure in Germany that Chinese companies should not be given permission to receive.
de_23_0110000,It is church tax that the state should continue to effect the collection of for religious communities.
de_24_0110000,It is the controlled sale of cannabis that is to be given general approval.
de_25_0110000,It is the European Union that Germany is to make its exit from.
de_26_0110000,
de_27_0110000,
de_28_0110000,
de_29_0110000,It is video surveillance in public places that facial recognition software should be given permission to be used for.
de_30_0110000,
de_31_0110000,It is organic agriculture that should be given a stronger boost than conventional agriculture.
