ID,statement
nl_1_0110000,What it should be impossible for event organizers to be able to request is a vaccination certificate.
nl_2_0110000,What the Netherlands should spend on defense is less money.
nl_3_0110000,What should remain paying for all parents at least three days a week is childcare.
nl_4_0110000,What the Netherlands must remain in is the European Union (EU).
nl_5_0110000,What there should not replace instead of the tax on car ownership is the existing tax on car ownership for motorists.
nl_6_0110000,What it should remain illegal to set off during the next turn of the year are decorative fireworks.
nl_7_0110000,What there should be is less tax on buying meat.
nl_8_0110000,What more money must go to is public broadcasting.
nl_9_0110000,What there should not replace instead of the existing health insurance companies is a national healthcare fund for everyone.
nl_10_0110000,What the government should keep is the ban on face-covering clothing.
nl_11_0110000,"What instead of the national government, provinces and municipalities should continue to decide is where new housing developments are built."
nl_12_0110000,What the government should keep is the current VAT on cultural activities.
nl_13_0110000,What the Netherlands should scrap is nuclear power plants.
nl_14_0110000,What should only be used for agriculture is land now used for agriculture.
nl_15_0110000,"What households with two partners, one of whom works, should receive are less tax benefits as households with two working partners."
nl_16_0110000,What the Dutch government is not the responsibility of is the slave trade of the past.
nl_17_0110000,What should not be stopped by a citizens' referendum are laws passed by parliament.
nl_18_0110000,What high school teachers should continue to earn is more as elementary school teachers.
nl_19_0110000,What there should be are more opportunities to impose community service instead of prison sentences.
nl_20_0110000,What the Netherlands should introduce for short-haul flights is fewer flight taxes.
nl_21_0110000,What asylum seekers with a temporary residence permit should be allowed to obtain before they are integrated is rental housing.
nl_22_0110000,What should remain illegal are both purchase and sale of soft drugs by coffee shops.
nl_23_0110000,What the government should make less compulsory at universities and colleges is education in Dutch.
nl_24_0110000,What people who find their lives complete should be denied is assisted suicide.
nl_25_0110000,What increasing minimum wages should automatically lead to is increases in welfare benefits.
nl_26_0110000,What new housing developments should consist of is up to 40 percent social housing.
nl_27_0110000,What there should be are new restrictions on farm activities.
nl_28_0110000,"What is unnecessary so that students have the choice between vmbo, havo or vwo is a middle school."
nl_29_0110000,What the Netherlands should accept are fewer refugees than it does now.
nl_30_0110000,"What should choose whether or not to wear a mouth guard is not the people themselves, but other agencies."
es_1_0110000,What expanding rights and freedoms is necessary to combat is organized crime.
es_2_0110000,What the growth of Islam is harmless to is Spain's security.
es_3_0110000,What current gender policies benefit is men.
es_4_0110000,What worsens when they are privatized is the efficiency in the provision of public services.
es_5_0110000,What it should be harder for companies to lay off are workers.
es_6_0110000,What the state must take are measures to increase the gap between rich and poor.
es_7_0110000,"What the government must decrease, even if this means not to increase taxes, is spending on public health care."
es_8_0110000,What is necessary to eliminate is a permanent tax on large fortunes and wealth.
es_9_0110000,What should be increased without increasing workers' salaries is the working hours.
es_10_0110000,What governments should intervene as much as possible in is the economy.
es_11_0110000,What taxes on fossil fuels should be reduced to finance is the Ecological Transition.
es_12_0110000,What climate change is only attributable to is natural action.
es_13_0110000,What the future Spanish government should reduce by means of large water transfers is agricultural irrigated areas.
es_14_0110000,What we must cede to better defend Spain's interests in Europe is sovereignty.
es_15_0110000,What the Spanish government should promote is the weakening of NATO in Europe.
es_16_0110000,What the worst way to solve the conflict in Catalonia is is to allow its citizens to vote on their future in a referendum.
es_17_0110000,What negotiating with the independentistas strengthens is the State.
es_18_0110000,What must be deepened is the centralization of power in Spain.
es_19_0110000,What must be ignored by the Constitution is the right of self-determination.
es_20_0110000,What the policies of linguistic immersion in the own language of the bilingual Autonomous Communities protect is Spanish.
es_21_0110000,What is necessary to pass is the Law of Democratic Memory during this legislature.
es_22_0110000,What Spain should be more intolerant of is illegal immigration.
es_23_0110000,What immigrants should receive are free health services.
es_24_0110000,What housing prices should be left to the free market to ensure is access for all people.
de_1_0110000,Where unlimited speed should be allowed is on all highways.
de_2_0110000,What Germany should reduce is its defense spending.
de_3_0110000,What adults (18 and over) should be allowed to vote in are federal elections.
de_4_0110000,What should be expanded are promotion of wind energy.
de_5_0110000,What is to be allowed without legal restrictions is the ability of landlords to increase housing rents.
de_6_0110000,What should not be patented and should be freely available are Vaccines against Covid-19.
de_7_0110000,What should be reversed is the phase-out of coal-fired power generation planned for 2038.
de_8_0110000,What all workers should be optionally insured in is the statutory pension scheme.
de_9_0110000,What is to be extended is the right of recognized refugees to family reunification.
de_10_0110000,What no taxed are to be levied on is revenue generated in Germany from digital services.
de_11_0110000,"What are to be promoted more than the traditional family of father, mother and children are other cohabiting couples."
de_12_0110000,What should be prohibited are donations from companies to political parties.
de_13_0110000,What students should receive depending on their parents' income is BAföG.
de_14_0110000,What it should only be possible to have in Germany is a single citizenship.
de_15_0110000,What Federal authorities should not use in their publications is gender-neutral language.
de_16_0110000,"What should not be allowed to go into operation as planned is the Nord Stream 2 Baltic Sea pipeline, which transports gas from Russia to Germany."
de_17_0110000,What should remain in place is the solidarity surcharge.
de_18_0110000,What female civil servants should be banned from wearing while on duty are headscarves.
de_19_0110000,What should be banned in the long term is the registration of new cars with combustion engines.
de_20_0110000,What the federal government should retain is fewer responsibilities in school policy.
de_21_0110000,What the federal government should provide is less financial support for projects to combat anti-Semitism.
de_22_0110000,What Chinese companies are to be allowed to receive are contracts for the expansion of the communications infrastructure in Germany.
de_23_0110000,What the state should stop collecting for religious communities is church tax.
de_24_0110000,What should be prohibited is the controlled sale of cannabis.
de_25_0110000,What Germany should remain a member of is the European Union.
