ID,statement
nl_1_0110000,A vaccination certificate should be able to be made a request for by organizers of events upon entry.
nl_2_0110000,
nl_3_0110000,
nl_4_0110000,An exit from the European Union (EU) should be effected by the Netherlands.
nl_5_0110000,
nl_6_0110000,"During the upcoming New Year's Eve, decorative fireworks should be given permission to set off again."
nl_7_0110000,An additional tax should be imposed on making a purchase of meat.
nl_8_0110000,
nl_9_0110000,
nl_10_0110000,The abolition of the ban on face-covering clothing should be effected by the government.
nl_11_0110000,"The decision of where new residential areas are built should be made by the national government, rather than provinces and municipalities."
nl_12_0110000,Reductions in the VAT on cultural activities should be made by the government to 5 percent.
nl_13_0110000,The construction of a new nuclear power plant should be effected by The Netherlands.
nl_14_0110000,
nl_15_0110000,
nl_16_0110000,The historical slave trade should be made an apology for by the Dutch government.
nl_17_0110000,
nl_18_0110000,Earnings as much as secondary school teachers earn should be granted to primary school teachers.
nl_19_0110000,
nl_20_0110000,The introduction of an additional flight tax for short-distance flights should be effected by the Netherlands.
nl_21_0110000,The completion of integration should be effected by asylum seekers with a temporary residence permit before getting a rental home.
nl_22_0110000,The government should give legal authorization to both the purchase and sale of soft drugs by coffee shops.
nl_23_0110000,
nl_24_0110000,
nl_25_0110000,
nl_26_0110000,
nl_27_0110000,
nl_28_0110000,
nl_29_0110000,The acceptance of more refugees should be effected by the Netherlands than it currently does.
nl_30_0110000,
es_1_0110000,
es_2_0110000,
es_3_0110000,
es_4_0110000,
es_5_0110000,
es_6_0110000,Measures should be taken by the state to effect the redistribution of wealth from the rich to the poor.
es_7_0110000,"An increase in spending on public health care must be effected by the government, even if this means increasing taxes."
es_8_0110000,
es_9_0110000,Relative authorities should give a reduction to the working day without reducing workers' wages.
es_10_0110000,The economy should be made as few interventions as possible by governments.
es_11_0110000,The government should raise taxes on fossil fuels to effect the financing of the Green Transition.
es_12_0110000,
es_13_0110000,An increase in irrigated agricultural areas should be effected by the future Spanish government by means of large water transfers.
es_14_0110000,The recovery of more sovereignty must be effected by us to better defend Spain's interests in Europe.
es_15_0110000,The strengthening of NATO in Europe should be given a boost to by the Spanish government.
es_16_0110000,The best way to solve the conflict in Catalonia is for its citizens' future to be able to be casted a vote on by themselves in a referendum.
es_17_0110000,The weakening of the State is effected by negotiating with pro-independence supporters.
es_18_0110000,
es_19_0110000,The Constitution must give recognition to the right to self-determination.
es_20_0110000,A threat to Spanish is posed by linguistic-immersion policies in the regional (native) language in bilingual Autonomous Communities.
es_21_0110000,The Law of Democratic Memory passed during this legislature be effected the repeal is necessary.
es_22_0110000,
es_23_0110000,Immigrants own health services should be made payments for by themselves.
es_24_0110000,
de_1_0110000,
de_2_0110000,
de_3_0110000,The government should grant permission to young people over the age of 16 to vote in Bundestag elections.
de_4_0110000,
de_5_0110000,The law is to give stricter restrictions to the ability of landlords to increase housing rents more strictly.
de_6_0110000,
de_7_0110000,
de_8_0110000,An increase in German's defense spending is to be effected by Germany.
de_9_0110000,
de_10_0110000,
de_11_0110000,"The government is to give a stronger boost to the traditional family of father, mother and children than other living arrangements."
de_12_0110000,Relative authorities should continue to give permission to donations from companies to political parties.
de_13_0110000,
de_14_0110000,
de_15_0110000,
de_16_0110000,"The government is to give permission to the Nord Stream 2 Baltic Sea pipeline, which transports gas from Russia to Germany, to go into operation as planned."
de_17_0110000,
de_18_0110000,Headscarves are to be given permission to be worn by female civil servants while on duty.
de_19_0110000,
de_20_0110000,
de_21_0110000,More financial support is to be made provision for by the federal government for projects to combat anti-Semitism.
de_22_0110000,Contracts for the expansion of the communications infrastructure in Germany should not be given permission to receive by Chinese companies.
de_23_0110000,The collection of church tax for religious communities should continue to be effected by the state.
de_24_0110000,The government is to give general approval to the controlled sale of cannabis.
de_25_0110000,An exit from the European Union is to be effected by Germany.
de_26_0110000,
de_27_0110000,
de_28_0110000,
de_29_0110000,The government should give permission to facial recognition software to be used for video surveillance in public places.
de_30_0110000,
de_31_0110000,The government should give organic agriculture a stronger boost than conventional agriculture.
de_32_0110000,The state is to be able to give recognition to Islamic associations as religious communities.
de_33_0110000,
de_34_0110000,
de_35_0110000,
de_36_0110000,The government is to give the statutory minimum wage an increase to at least 12 euros by 2022 at the latest.
de_37_0110000,The government is to give heavier taxation to air traffic.
de_38_0110000,The decision of whether to allow their employees to work from home is to be made by companies for themselves.
pl_1_0110000,
pl_2_0110000,The government should give an increase to social transfers to reduce the effects of inflation on citizens.
pl_3_0110000,Private visits to specialists should be given funding for by the state if the waiting time at a public facility exceeds three months.
pl_4_0110000,Provision for a free nursery place should be made by the state for every child.
pl_5_0110000,More freedom should be given to schools to make a choice of the content covered in the curriculum.
pl_6_0110000,The construction of low-rent apartments should be effected by the state for rent.
pl_7_0110000,The government should effect an increase in taxes for top earners.
pl_8_0110000,
pl_9_0110000,
pl_10_0110000,The payment of same health premium should be made by all entrepreneurs regardless of income.
pl_11_0110000,
pl_12_0110000,The adoption of the migrant relocation solutions adopted by the European Union should be effected by Poland.
pl_13_0110000,
pl_14_0110000,The government should effect a further increase to the share of defense spending in Poland's GDP.
pl_15_0110000,
pl_16_0110000,
pl_17_0110000,
pl_18_0110000,
pl_19_0110000,The government should give restrictions to public media funding from the state budget.
pl_20_0110000,Relative authorities should give restrictions to the powers of the secret services to track the activities of citizens on the Internet.
hu_1_0110000,Threats against Hungary's sovereignty is made by the EU's rule of law mechanism.
hu_2_0110000,Only Hungarian economic interests should give guidance to Hungarian foreign policy.
hu_3_0110000,The decision of whether to remain part of the EU should be made by Hungary by referendum.
hu_4_0110000,
hu_5_0110000,
hu_6_0110000,
hu_7_0110000,
hu_8_0110000,
hu_9_0110000,The government should effect an increase in the age of compulsory schooling back to 18.
hu_10_0110000,The government should effect an increase in education spending to at least the OECD average of 5.2 per cent (GDP).
hu_11_0110000,Relative authorities should give teachers' salaries a twofold increase.
hu_12_0110000,Changing the university model (reorganisation into a trust) has effected a reduction to political influence.
hu_13_0110000,The government should only give permission to men and women to marry.
hu_14_0110000,
hu_15_0110000,Targeted measures should be taken by the state to give a boost to equal participation of fathers and mothers in child-rearing.
hu_16_0110000,"The Istanbul Convention, which combats violence against women and domestic violence should be given ratification to by the Hungarian government."
hu_17_0110000,
hu_18_0110000,
hu_19_0110000,
hu_20_0110000,
hu_21_0110000,
hu_22_0110000,
hu_23_0110000,The government should grant an extension of the current three-month unemployment benefit.
hu_24_0110000,
hu_25_0110000,"It is right that the school entry maturity of children over the age of six is made a decision on by the Education Office, rather than by parents and kindergarten teachers."
hu_28_0110000,Hungary should give legal authorisation to the use of medical cannabis.
hu_29_0110000,
hu_30_0110000,
hu_31_0110000,
hu_32_0110000,
hu_33_0110000,
hu_34_0110000,
hu_36_0110000,The government should impose heavier taxation on polluting companies.
hu_37_0110000,"In larger cities, the government should give restrictions to car traffic through various measures (P+R parking, construction of cycle paths, improvement of public transport)."
hu_38_0110000,
hu_39_0110000,
hu_40_0110000,
it_1_0110000,
it_2_0110000,
it_3_0110000,
it_4_0110000,
it_5_0110000,The regaining of more autonomy should be effected by member states.
it_6_0110000,
it_7_0110000,
it_8_0110000,
it_9_0110000,
it_10_0110000,The government should give citizens a guarantee of freedom of choice in end-of-life matters (euthanasia).
it_11_0110000,The government should give permission to recreational use of marijuana/cannabis.
it_12_0110000,Relative authorities need to pass a law to effect the prevention of companies' relocating their production abroad.
it_13_0110000,
it_14_0110000,Employees should be able to effect the dismissal of employees more easily by businesses.
it_15_0110000,
it_16_0110000,
it_17_0110000,
it_18_0110000,
it_19_0110000,
it_20_0110000,The government should give a boost to the use of nuclear power plants for the purpose of producing energy.
it_21_0110000,
