ID,statement
nl_1_0110000,Organizers of events should not be able to make a request for a vaccination certificate upon entry.
nl_2_0110000,
nl_3_0110000,
nl_4_0110000,The Netherlands should not make its exit from the European Union (EU).
nl_5_0110000,
nl_6_0110000,"During the upcoming New Year's Eve, it should not be given permission to set off decorative fireworks again."
nl_7_0110000,There should be a no additional tax on making a purchase of meat.
nl_8_0110000,
nl_9_0110000,
nl_10_0110000,The government should not effect the abolition of the ban on face-covering clothing.
nl_11_0110000,"The national government, rather than provinces and municipalities, should not make a decision where new residential areas are built."
nl_12_0110000,The government should not make reductions in the VAT on cultural activities to 5 percent.
nl_13_0110000,The Netherlands should not effect the construction of a new nuclear power plant.
nl_14_0110000,
nl_15_0110000,
nl_16_0110000,The Dutch government should not make an apology for the historical slave trade.
nl_17_0110000,
nl_18_0110000,Teachers in elementary schools should not have earnings as much as teachers in secondary schools.
nl_19_0110000,
nl_20_0110000,The Netherlands should not effect the introduction of an additional air tax for short-haul flights.
nl_21_0110000,Asylum seekers with provisional residence permits should not effect the completion of integration before they are given rental housing.
nl_22_0110000,Both the purchase and sale of soft drugs by coffee shops should not be given legal authorization.
nl_23_0110000,
nl_24_0110000,
nl_25_0110000,An increase in minimum wages should still automatically give rise to an increase in welfare benefits.
nl_26_0110000,New residential areas should not have a proportion of at least 40 percent green space.
nl_27_0110000,
nl_28_0110000,
nl_29_0110000,The Netherlands should not effect the acceptance of more refugees than it currently does.
nl_30_0110000,
es_1_0110000,Limiting rights and freedoms is not necessary to take up the fight against organized crime.
es_2_0110000,
es_3_0110000,
es_4_0110000,
es_5_0110000,It should not be easier for companies to effect the dismissal of workers.
es_6_0110000,The state should not take measures to effect the redistribution of wealth from the rich to the poor.
es_7_0110000,The government should not effect an increase in spending on the public health system even if this means increasing taxes.
es_8_0110000,
es_9_0110000,Working hours should not be given a reduction without reducing workers' wages.
es_10_0110000,Governments should not make as few interventions in the economy as possible.
