ID,statement
nl_1_0110000,It should be impossible for event organizers not to be able to request a vaccination certificate.
nl_2_0110000,The Netherlands should not spend less money on defense.
nl_3_0110000,Child care should not remain paying for all parents at least three days a week.
nl_4_0110000,The Netherlands should not remain in the European Union (EU).
nl_5_0110000,
nl_6_0110000,"Next turn of the year, it should not remain illegal to set off decorative fireworks."
nl_7_0110000,There should be a no less tax on buying meat.
nl_8_0110000,There should not be more funding for public broadcasting.
nl_9_0110000,
nl_10_0110000,The government should not keep the ban on face-covering clothing.
nl_11_0110000,"Instead of the national government, provinces and municipalities should not continue to decide where new housing developments are built."
nl_12_0110000,The government should not keep the current VAT on cultural activities.
nl_13_0110000,The Netherlands should not scrap nuclear power plants.
nl_14_0110000,Land now used for agriculture should not only be used for agriculture.
nl_15_0110000,Households with two partners of which one works should not receive less tax benefit as households with two working partners.
nl_16_0110000,The Dutch government should be responsible for the slave trade in the past.
nl_17_0110000,Citizens should not be prohibited to stop laws passed by parliament through a citizens' referendum.
nl_18_0110000,High school teachers should not earn more as elementary school teachers.
nl_19_0110000,There should not be more opportunities to impose community service instead of prison sentences.
nl_20_0110000,The Netherlands should not introduce fewer flight taxes for short-haul flights.
nl_21_0110000,Asylum seekers with provisional residence permits should not be allowed to obtain rental housing before they are integrated.
nl_22_0110000,Both purchase and sale of soft drugs by coffee shops should not remain illegal.
nl_23_0110000,The government should no longer make education in Dutch less compulsory at universities and colleges.
nl_24_0110000,People who find their lives complete should not be denied assisted suicide.
nl_25_0110000,
nl_26_0110000,New housing developments should not consist of up to 40 percent social housing.
nl_27_0110000,
nl_28_0110000,"The arrival of a middle school is not unnecessary, because students are not now old enough when they have the choice between vmbo, havo or vwo."
nl_29_0110000,The Netherlands should not accept fewer refugees than it does now.
nl_30_0110000,"Not the people themselves, but other agencies should not always be able to choose whether or not to wear a mouth guard."
es_1_0110000,It is not necessary to expand rights and freedoms to combat organized crime.
es_2_0110000,The growth of Islam is not harmless to Spain's security.
es_3_0110000,Current gender policies do not benefit men.
es_4_0110000,Efficiency in the provision of public services does not worsen when they are privatized.
es_5_0110000,It should not be harder for companies to lay off workers.
es_6_0110000,The state should not take measures to increase the gap between rich and poor.
es_7_0110000,The government should not decrease spending on the public health system so as not to increase taxes.
es_8_0110000,There is no need to eliminate the permanent tax on large fortunes and wealth.
es_9_0110000,Working hours should not be increased without increasing workers' salaries.
es_10_0110000,Governments should not intervene as much as possible in the economy.
es_11_0110000,Taxes on fossil fuels should not be reduced to finance the Green Transition.
es_12_0110000,Climate change is not only attributable to natural action.
es_13_0110000,The future Spanish government should not reduce agricultural irrigated areas through large water transfers.
es_14_0110000,"In order to better defend Spain's interests in Europe, we should not cede sovereignty."
es_15_0110000,The Spanish government should not promote the weakening of NATO in Europe.
es_16_0110000,The worst way to solve the conflict in Catalonia is that its citizens cannot vote on their future in a referendum.
es_17_0110000,Negotiating with the independentistas does not strengthen the State.
es_18_0110000,There is no need to deepen the centralization of power in Spain.
es_19_0110000,The right of self-determination should not be ignored by the Constitution.
es_20_0110000,The policies of linguistic immersion in the own language of the bilingual Autonomous Communities do not protect Spanish.
es_21_0110000,It is not necessary to pass the Law of Democratic Memory during this legislature.
es_22_0110000,Spain should not be more intolerant of illegal immigration.
es_23_0110000,Immigrants should not receive free health services.
es_24_0110000,Housing prices should not be left to the free market to guarantee access to all people.
de_1_0110000,No unlimited speed should be allowed on all highways.
de_2_0110000,Germany should not reduce its defense spending.
de_3_0110000,Only adults (18 and over) should not be allowed to vote in federal elections.
de_4_0110000,The promotion of wind energy should not be expanded.
de_5_0110000,The ability of landlords to increase rents should not be allowed without legal restrictions.
de_6_0110000,Vaccines against Covid-19 should not be freely available.
de_7_0110000,The phase-out of coal-fired power generation planned for 2038 should not be reversed.
de_8_0110000,All workers should not be optionally insured in the statutory pension scheme.
de_9_0110000,The right of recognized refugees to family reunification should not be extended.
de_10_0110000,
de_11_0110000,"Other cohabiting couples are not to be promoted more than the traditional family of father, mother and children."
de_12_0110000,Donations from companies to political parties should not be prohibited.
de_13_0110000,"Students should receive BAföG, not depending on their parents' income."
de_14_0110000,"In Germany, it should be possible to have not just a single citizenship."
de_15_0110000,Federal authorities should not use gender-neutral language in their publications.
de_16_0110000,
de_17_0110000,The solidarity surcharge should not remain in place.
de_18_0110000,Female civil servants should not be banned from wearing headscarves on duty.
de_19_0110000,The registration of new cars with combustion engines should no longer be banned in the long term.
de_20_0110000,The federal government should not be given fewer responsibilities in school policy.
de_21_0110000,The federal government should not provide less financial support for projects to combat anti-Semitism.
de_22_0110000,Chinese companies are to be prohibited to receive contracts for the expansion of the communications infrastructure in Germany.
de_23_0110000,The state should not stop collecting church tax for religious communities.
de_24_0110000,The controlled sale of cannabis should not be prohibited.
de_25_0110000,Germany should not remain a member of the European Union.
de_26_0110000,
