ID,statement
nl_1_0001000,A vaccination certificate should be able to be requested by organizers of events upon entry.
nl_2_0001000,More money should be spent on defense by the Netherlands.
nl_3_0001000,All parents should have free childcare for at least three days a week.
nl_4_0001000,The European Union (EU) should be exited by the Netherlands.
nl_5_0001000,"Instead of the tax on car ownership, a tax per kilometer driven for motorists should be introduced."
nl_6_0001000,"During the upcoming New Year's Eve, decorative fireworks should be allowed to be set off again."
nl_7_0001000,An additional tax should be imposed on purchasing meat.
nl_8_0001000,Public broadcasting should be given less funding.
nl_9_0001000,"Instead of the existing health insurance companies, a national healthcare fund for everyone should be established."
nl_10_0001000,The ban on face-covering clothing should be abolished by the government.
nl_11_0001000,"Where new residential areas are built should be decided by the national government, rather than provinces and municipalities."
nl_12_0001000,The VAT on cultural activities should be reduced by the government to 5 percent.
nl_13_0001000,A new nuclear power plant should be built by The Netherlands.
nl_14_0001000,
nl_15_0001000,"The same tax benefits should be received by households with two partners, one of whom works, as by households with two working partners."
nl_16_0001000,The historical slave trade should be apologized for by the Dutch government.
nl_17_0001000,The opportunity to block laws passed by parliament through a referendum should be given to citizens.
nl_18_0001000,As much as secondary school teachers earn should be earned by primary school teachers.
nl_19_0001000,
nl_20_0001000,An additional flight tax for short-distance flights should be introduced by the Netherlands.
nl_21_0001000,Integration should be completed by asylum seekers with a temporary residence permit before getting a rental home.
nl_22_0001000,The government should legalize both the purchase and sale of soft drugs by coffee shops.
nl_23_0001000,Dutch-language education should be made more frequently mandatory at universities and colleges by the government.
nl_24_0001000,Assistance with suicide should be able to be received by people who consider their lives complete.
nl_25_0001000,An increase in welfare benefits should no longer automatically be the result of an increase in minimum wages.
nl_26_0001000,
nl_27_0001000,No new restrictions on the activities of farming businesses should be imposed.
nl_28_0001000,"Relative authorities should establish a middle school so that students make a choice between vocational education, general secondary education, or pre-university education at a later age."
nl_29_0001000,More refugees should be accepted by the Netherlands than it currently does.
nl_30_0001000,
es_1_0001000,
es_2_0001000,
es_3_0001000,
es_4_0001000,
es_5_0001000,
es_6_0001000,Measures should be taken by the state to redistribute wealth from the rich to the poor.
es_7_0001000,"Spending on public health care must be increased by the government, even if this means increasing taxes."
es_8_0001000,
es_9_0001000,Relative authorities should reduce the working day without reducing workers' wages.
es_10_0001000,The economy should be intervened by governments as little as possible.
es_11_0001000,The government should raise taxes on fossil fuels to finance the Green Transition.
es_12_0001000,
es_13_0001000,Irrigated agricultural areas should be increased by the future Spanish government by means of large water transfers.
es_14_0001000,More sovereignty must be recovered by us to better defend Spain's interests in Europe.
es_15_0001000,The strengthening of NATO in Europe should be promoted by the Spanish government.
es_16_0001000,The best way to solve the conflict in Catalonia is for its citizens' future to be able to be voted on by themselves in a referendum.
es_17_0001000,The State is weakened by negotiating with pro-independence supporters.
es_18_0001000,Relative authorities must deepen Spain's territorial decentralization.
es_19_0001000,The Constitution must recognize the right to self-determination.
es_20_0001000,Spanish is endangered by the policies of linguistic immersion in the native language of bilingual Autonomous Communities.
es_21_0001000,The Law of Democratic Memory passed during this legislature be repealed is necessary.
es_22_0001000,
es_23_0001000,Immigrants own health services should be paid by themselves.
es_24_0001000,Relative authorities must regulate housing prices to ensure access for all people.
de_1_0001000,All highways are to have a general speed limit applied to them.
de_2_0001000,German's defense spending is to be increased by themselves.
de_3_0001000,The government should allow young people over the age of 16 to vote in Bundestag elections.
de_4_0001000,The government is to end subsidies for wind energy.
de_5_0001000,The law is to limit the ability of landlords to increase housing rents more strictly.
de_6_0001000,Patents are to continue to protect Covid-19 vaccines.
de_7_0001000,The government is to bring forward the phase-out of coal-fired power generation planned for 2038.
de_8_0001000,The government is to require all employed persons to be insured in the statutory pension scheme.
de_9_0001000,Relative authorities are to abolish the right of recognized refugees to join their families.
de_10_0001000,The government is to levy a national tax on revenue generated in Germany from digital services.
de_11_0001000,"The government is to promote the traditional family of father, mother and children more strongly than other living arrangements."
de_12_0001000,Relative authorities should continue to permit donations from companies to political parties.
de_13_0001000,BAföG should be received by students regardless of their parents' income.
de_14_0001000,
de_15_0001000,Different gender identities are to be taken into linguistic account by federal authorities in their publications.
de_16_0001000,"The government is to allow the Nord Stream 2 Baltic Sea pipeline, which transports gas from Russia to Germany, to go into operation as planned."
de_17_0001000,The government is to abolish the solidarity surcharge completely.
de_18_0001000,Headscarves are to be allowed to be worn by female civil servants while on duty.
