ID,statement
nl_1_0010000,It should be impossible for event organizers to be able to request a vaccination certificate.
nl_2_0010000,The Netherlands should spend less money on defense.
nl_3_0010000,Child care should remain paying for all parents at least three days a week.
nl_4_0010000,The Netherlands must remain in the European Union (EU).
nl_5_0010000,A tax per kilometer driven should not replace the existing tax on car ownership for motorists.
nl_6_0010000,"Next turn of the year, it should remain illegal to set off decorative fireworks."
nl_7_0010000,There should be less tax on buying meat.
nl_8_0010000,More money must go to public broadcasting.
nl_9_0010000,A national health care fund for everyone should not replace existing health insurance companies.
nl_10_0010000,The government should keep the ban on face-covering clothing.
nl_11_0010000,"Instead of the national government, provinces and municipalities should continue to decide where new housing developments are built."
nl_12_0010000,The government should keep the current VAT on cultural activities.
nl_13_0010000,The Netherlands should scrap nuclear power plants.
nl_14_0010000,Land now used for agriculture should only be used for agriculture.
nl_15_0010000,Households with two partners of which one works should receive less tax benefit as households with two working partners.
nl_16_0010000,The slave trade of the past is not the responsibility of the current Dutch government.
nl_17_0010000,Laws passed by parliament should not be stopped by a citizens' referendum.
nl_18_0010000,High school teachers should continue to earn more as elementary school teachers.
nl_19_0010000,There should be more opportunities to impose community service instead of prison sentences.
nl_20_0010000,The Netherlands should introduce fewer flight taxes for short-haul flights.
nl_21_0010000,Asylum seekers with a temporary residence permit should be allowed to obtain rental housing before they are integrated.
nl_22_0010000,Both purchase and sale of soft drugs by coffee shops should remain illegal.
nl_23_0010000,The government should make education in Dutch less compulsory at universities and colleges.
nl_24_0010000,People who find their lives complete should be denied assisted suicide.
nl_25_0010000,Increasing minimum wages should automatically lead to increases in welfare benefits.
nl_26_0010000,New housing developments should consist of up to 40 percent social housing.
nl_27_0010000,There should be new restrictions on farm activities.
nl_28_0010000,"The arrival of a middle school is unnecessary, because students are now old enough when they have the choice between vmbo, havo or vwo."
nl_29_0010000,The Netherlands should accept fewer refugees than it does now.
nl_30_0010000,"Not the people themselves, but other agencies should choose whether or not to wear a mouth guard."
es_1_0010000,It is necessary to expand rights and freedoms to combat organized crime.
es_2_0010000,The growth of Islam is harmless to Spain's security.
es_3_0010000,Current gender policies benefit men.
es_4_0010000,Efficiency in the provision of public services worsens when they are privatized.
es_5_0010000,It should be harder for companies to lay off workers.
es_6_0010000,The state must take measures to increase the gap between rich and poor.
es_7_0010000,The government should decrease spending on public health care so as not to increase taxes.
es_8_0010000,It is necessary to eliminate the permanent tax on large fortunes and wealth.
es_9_0010000,Working hours should be increased without increasing workers' salaries.
es_10_0010000,Governments should intervene as much as possible in the economy.
es_11_0010000,Taxes on fossil fuels should be reduced and the Ecological Transition should be ignored.
es_12_0010000,Climate change is only attributable to natural action.
es_13_0010000,The future Spanish government should reduce agricultural irrigated areas through large water transfers.
es_14_0010000,"To better defend Spain's interests in Europe, we must cede sovereignty."
es_15_0010000,The Spanish government should promote the weakening of NATO in Europe.
es_16_0010000,The worst way to solve the conflict in Catalonia is to allow its citizens to vote on their future in a referendum.
es_17_0010000,Negotiating with the independentistas strengthens the State.
es_18_0010000,The centralization of power in Spain must be deepened.
es_19_0010000,The right of self-determination must be ignored by the Constitution.
es_20_0010000,The policies of linguistic immersion in the own language of the bilingual Autonomous Communities protect Spanish.
es_21_0010000,It is necessary to pass the Law of Democratic Memory during this legislature.
es_22_0010000,Spain should be more intolerant of illegal immigration.
es_23_0010000,Immigrants should receive free health services.
es_24_0010000,Housing prices should be left to the free market.
de_1_0010000,Unlimited speed should be allowed on all highways.
de_2_0010000,Germany should reduce its defense spending.
de_3_0010000,Only adults (18 and over) should be allowed to vote in federal elections.
de_4_0010000,The promotion of wind energy should be expanded.
de_5_0010000,Landlords should be allowed to increase rents without legal restrictions.
de_6_0010000,Vaccines against Covid-19 should not be patented and should be freely available.
de_7_0010000,The phase-out of coal-fired power generation planned for 2038 should be reversed.
de_8_0010000,All workers should be optionally insured in the statutory pension scheme.
de_9_0010000,The right of recognized refugees to family reunification is to be extended.
de_10_0010000,No taxes are to be levied on revenue generated in Germany from digital services.
de_11_0010000,"Other cohabiting couples are to be promoted more than the traditional family of father, mother and children."
de_12_0010000,Donations from companies to political parties should be prohibited.
de_13_0010000,"Students should receive BAföG, depending on their parents' income."
de_14_0010000,"In Germany, it should only be possible to have a single citizenship."
de_15_0010000,Federal authorities should not use gender-neutral language in their publications.
de_16_0010000,"The ""Nord Stream 2"" Baltic Sea pipeline, which transports gas from Russia to Germany, should not be allowed to go into operation."
de_17_0010000,The solidarity surcharge should remain in place.
de_18_0010000,Female civil servants should generally be banned from wearing headscarves on duty.
de_19_0010000,The registration of new cars with combustion engines should be banned in the long term.
de_20_0010000,The federal government should retain fewer responsibilities in school policy.
de_21_0010000,The federal government should provide less financial support for projects to combat anti-Semitism.
de_22_0010000,Chinese companies are to be allowed to receive contracts for the expansion of the communications infrastructure in Germany.
de_23_0010000,The state should stop collecting church tax for religious communities. 
de_24_0010000,The controlled sale of cannabis should be prohibited.
de_25_0010000,Germany should remain a member of the European Union.
de_26_0010000,The state lists of the parties for the elections to the German Bundestag should not take into account an equal distribution of men and women.
de_27_0010000,Inpatient treatment in hospitals should be billed individually.
de_28_0010000,The levying of a tax on high assets should be discontinued.
de_29_0010000,The use of facial recognition software for video surveillance in public places should be prohibited.
de_30_0010000,Only married couples with children should receive preferential tax treatment.
de_31_0010000,Conventional agriculture should be promoted more than organic farming.
de_32_0010000,Islamic associations should be rejected by the state as religious communities.
de_33_0010000,The price set by the state for CO2 emissions from heating and driving is to increase less than planned.
de_34_0010000,The debt brake in the Basic Law is to be lifted.
de_35_0010000,Asylum is to be granted to more people than just those who are politically persecuted.
de_36_0010000,The statutory minimum wage is to be reduced by 2022 at the latest.
de_37_0010000,Air traffic is to be taxed at a lower rate.
de_38_0010000,"Working from home should be allowed everywhere, regardless of the company, if possible."
pl_1_0010000,The European Union should have more influence on Polish domestic policy.
pl_2_0010000,Social transfers should be reduced so as not to increase the burden on the state budget in times of inflation.
pl_3_0010000,"The state should refrain from financing private visits to specialists, regardless of the waiting time in a public facility."
pl_4_0010000,The state should refrain from providing free nursery places for all children.
pl_5_0010000,Schools should have less freedom to choose the content covered in the curriculum.
pl_6_0010000,The state should refrain from building low-income rental housing.
pl_7_0010000,Taxes should be lowered for top earners.
pl_8_0010000,"Early retirement based on the number of years worked, regardless of age, should be impossible."
pl_9_0010000,Abortion laws should be tightened.
pl_10_0010000,Entrepreneurs should pay health premiums based on their income.
pl_11_0010000,The result of any nationwide referendum should be binding depending on turnout.
pl_12_0010000,Poland should reject the migrant relocation solutions adopted by the European Union.
pl_13_0010000,Parliamentary and government control over the judiciary should be strengthened.
pl_14_0010000,The share of defense spending in Poland's GDP should be reduced.
pl_15_0010000,The powers of local governments should be reduced at the expense of the central government.
pl_16_0010000,Poland should continue coal mining beyond 2040.
pl_17_0010000,Poland should support grain imports from Ukraine.
pl_18_0010000,State social policy should be independent of Christian values.
pl_19_0010000,Public media funding from the state budget should be increased.
pl_20_0010000,The powers of the secret services to track citizens' activities on the Internet should be increased.
hu_1_0010000,The EU's rule of law mechanism protects Hungary's sovereignty.
hu_2_0010000,Hungarian foreign policy should also take into account foreign economic interests.
hu_3_0010000,Hungary should decide to remain part of the EU without consulting the electorate.
hu_4_0010000,"Gender identity is formed independently of environmental influences (e.g. media content, sensitising activities)."
hu_5_0010000,Weaker state regulation of the work of foreign-funded NGOs is needed.
hu_6_0010000,Hungary should withdraw from the European Public Prosecutor's Office.
hu_7_0010000,Lighter regulation of interception software (e.g. Pegasus) is needed.
hu_8_0010000,Disclosing the origin of criminals does not help more effective law enforcement.
hu_9_0010000,The age of compulsory education should remain 16.
hu_10_0010000,Spending on education is sufficient.
hu_11_0010000,Teachers' salaries are sufficient.
hu_12_0010000,Political influence has increased with the change in the university model (reorganisation into a trust).
hu_13_0010000,Same-sex couples should be allowed to marry.
hu_14_0010000,Political parties prevent the proportion of men and women on the lists from converging.
hu_15_0010000,The state takes targeted measures to prevent fathers and mothers from sharing equally in child-rearing.
hu_16_0010000,"The Hungarian government should reject the ratification of the Istanbul Convention, which combats violence against women and domestic violence."
hu_17_0010000,The conclusion of favourable gas supply contracts with Russia is an inappropriate way of reducing overheads.
hu_18_0010000,Comprehensive public procurement reform is unnecessary (e.g. opening up large-scale centralised public procurement to smaller companies).
hu_19_0010000,The more wealthy should contribute less to the public burden (abolition of the one-band tax).
hu_20_0010000,Public employment is a barrier to re-entering the labour market.
hu_21_0010000,"A price freeze on some basic foodstuffs (e.g. chicken tails, milk) is ineffective in combating inflation."
hu_22_0010000,Public regulation of the rental housing market is required.
hu_23_0010000,Cutting the current three-month unemployment benefit is unnecessary.
hu_24_0010000,The family tax allowance is a worse way of supporting families than increasing the family allowance.
hu_25_0010000,"It is wrong that the Education Office, rather than parents and nursery teachers, should decide on the school-entry maturity of children from the age of six."
hu_28_0010000,Make the use of medical cannabis illegal in Hungary.
hu_29_0010000,The creation of an independent Ministry of Health is unnecessary
hu_30_0010000,The President of the Hungarian Republic should be elected by the Parliament.
hu_31_0010000,"Comprehensive reform of the electoral system (redrawing of district boundaries, abolition of winner's compensation, extension of postal voting) is unnecessary."
hu_32_0010000,A civilian regulatory framework for primaries should be provided.
hu_33_0010000,Voting age for elections should be 18.
hu_34_0010000,Internet should be free for all.
hu_36_0010000,Higher taxes on polluting companies should be avoided.
hu_37_0010000,"In larger cities, it is unnecessary to restrict car traffic by various measures (P+R parking, building cycle paths, improving public transport)."
hu_38_0010000,"In the case of the redevelopment of urban green areas (e.g. the Liget project in Budapest), a broad social dialogue is unjustified."
hu_39_0010000,A separate environment ministry is unnecessary.
hu_40_0010000,The introduction of an animal rights commissioner is unnecessary.
it_1_0010000,European integration is an all-negative process.
it_2_0010000,Italy should continue in the Eurozone.
it_3_0010000,The European Union should cancel the common foreign policy.
it_4_0010000,The effort for a common European army should cease.
it_5_0010000,European economic integration has slowed: member states should cede autonomy.
it_6_0010000,Restrictions on personal freedom and privacy are unacceptable to deal with health emergencies such as Covid-19.
it_7_0010000,"Migrant landings must continue, ceasing to resort to extreme means."
it_8_0010000,"Children, born in Italy to foreign nationals and who have completed schooling should have their Italian citizenship (ius scholae) denied."
it_9_0010000,"Civil rights should be limited to homosexual, bisexual, transgender (LGBT+) people."
it_10_0010000,Citizens should be restricted from making end-of-life (euthanasia) choices.
it_11_0010000,Recreational use of marijuana/cannabis should be prohibited.
it_12_0010000,A law favoring businesses to relocate their production abroad is needed.
it_13_0010000,A wealth tax on great wealth should be cut.
it_14_0010000,It should be more difficult for businesses to lay off employees.
it_15_0010000,Health care should be managed only by private individuals and not by the state. 
it_16_0010000,"The introduction of a single income tax rate (""flat tax"") would be a disadvantage to the Italian economy."
it_17_0010000,The hourly minimum wage should be ignored.
it_18_0010000,The citizenship income is a measure that should be continued.
it_19_0010000,Beach concessions to private individuals should be of continuous duration over time.
it_20_0010000,The use of nuclear power plants for the purpose of producing energy should be limited.
it_21_0010000,The construction of Major Works is irrelevant to Italy.
it_22_0010000,Italy should stop building incinerators/thermal power plants.
it_23_0010000,Drilling is irrelevant to finding more energy resources.
it_24_0010000,Regasifiers are irrelevant infrastructure for Italy.
it_25_0010000,Italy should cancel its foreign policy aligned with the choices of the Atlantic Alliance (NATO).
it_26_0010000,Sanctions against Russia should be eased.
it_27_0010000,Italy should continue sending arms and war material to the Ukrainian government.
it_28_0010000,Taxes collected at the regional level should be fully redistributed among the regions.
it_29_0010000,Career separation between judges and prosecutors is irrelevant.
it_30_0010000,Direct election of the President of the Republic is irrelevant.
ch_18_0010000,There should be a decrease in the retirement age.
ch_19_0010000,The federal government should revoke funding for health insurance premium subsidies.
ch_20_0010000,"For married couples, the pension is currently limited to 150% of the maximum individual AHV pension (capping). This limit should be kept."
ch_21_0010000,"As part of the reform of the BVG (occupational pension plan), pensions are to be increased (lowering the minimum conversion rate from 6.8% to 6%). "
ch_22_0010000,Paid parental leave should be reduced under today's 14 weeks of maternity leave and two weeks of paternity leave.
ch_23_0010000,The federal government should provide less financial support for public housing construction.
