ID,statement
nl_1_0110000,A vaccination certificate should be impossible to be requested by organizers of events upon entry.
nl_2_0110000,Less money should be spent on defense by the Netherlands.
nl_3_0110000,All parents should be paying for child care at least three days a week.
nl_4_0110000,The European Union (EU) must be remained in by the Netherlands.
nl_5_0110000,"Instead of the tax on car ownership, a tax per kilometer driven for motorists should not be introduced."
nl_6_0110000,"During the upcoming New Year's Eve, decorative fireworks should remain illegal to be set off again."
nl_7_0110000,Less tax should be imposed on buying meat.
nl_8_0110000,Public broadcasting must be given more money.
nl_9_0110000,"Instead of the existing health insurance companies, a national healthcare fund for everyone should not be established."
nl_10_0110000,The ban on face-covering clothing should be kept by the government.
nl_11_0110000,"Where new housing developments are built should be decided by provinces and municipalities, rather than the national government."
nl_12_0110000,The VAT on cultural activities should be kept by the government.
nl_13_0110000,A new nuclear power plant should be scrapped by the Netherlands.
nl_14_0110000,
nl_15_0110000,"The less tax benefits should be received by households with two partners, one of whom works, as by households with two working partners."
nl_16_0110000,The historical slave trade should not be apologized for by the Dutch government.
nl_17_0110000,Laws passed by parliament should not be stopped by a citizens' referendum.
nl_18_0110000,As much as elementary school teachers earn should be earned by high school teachers.
nl_19_0110000,
nl_20_0110000,Fewer flight taxes for short-haul flights should be introduced by the Netherlands.
nl_21_0110000,A rental home should be allowed to be obtained by asylum seekers with a temporary residence permit before they are integrated.
nl_22_0110000,The government should make both the purchase and sale of soft drugs by coffee shops illegal.
nl_23_0110000,Education in Dutch should be made less compulsory at universities and colleges by the government.
nl_24_0110000,Assistance with suicide should be denied to be received by people who consider their lives complete.
nl_25_0110000,An increase in welfare benefits should automatically be the result of an increase in minimum wages.
nl_26_0110000,
nl_27_0110000,New restrictions on farm activities should be imposed.
nl_28_0110000,"Relative authorities should not establish a middle school, because students are now old enough when they have the choice between vmbo, havo or vwo."
nl_29_0110000,Fewer refugees should be accepted by the Netherlands than it does now.
nl_30_0110000,
es_1_0110000,
es_2_0110000,
es_3_0110000,
es_4_0110000,
es_5_0110000,
es_6_0110000,Measures should be taken by the state to increase the gap between rich and poor.
es_7_0110000,"Spending on public health care should be decreased by the government, so as not to increase taxes."
es_8_0110000,
es_9_0110000,Relative authorities should increase working hours without increasing workers' salaries.
es_10_0110000,The economy should be intervened by governments as much as possible.
es_11_0110000,The government should reduce taxes on fossil fuels and ignore the Green Transition.
es_12_0110000,
es_13_0110000,Irrigated agricultural areas should be reduced by the future Spanish government through large water transfers.
es_14_0110000,Sovereignty must be ceded by us to better defend Spain's interests in Europe.
es_15_0110000,The weakening of NATO in Europe should be promoted by the Spanish government.
es_16_0110000,The worst way to solve the conflict in Catalonia is for its citizens' future to be allowed to be voted on by themselves in a referendum.
es_17_0110000,The State is strengthened by negotiating with the independentistas.
es_18_0110000,Relative authorities must deepen the centralization of power in Spain.
es_19_0110000,The Constitution must ignore the right of self-determination.
es_20_0110000,Spanish is protected by the policies of linguistic immersion in the own language of bilingual Autonomous Communities.
es_21_0110000,The Law of Democratic Memory passed during this legislature be passed is necessary.
es_22_0110000,
es_23_0110000,Immigrants' health services should be received for free by themselves.
es_24_0110000,The free market should be allowed to determine housing prices to ensure access for all people.
