ID,statement
nl_1_0001000,What organizers of events should be able to request upon entry is a vaccination certificate.
nl_2_0001000,What the Netherlands should spend on defense is more money.
nl_3_0001000,What should be free for all parents for at least three days a week is childcare.
nl_4_0001000,What the Netherlands should exit is the European Union (EU).
nl_5_0001000,What there should be instead of the tax on car ownership is a tax per kilometer driven for motorists.
nl_6_0001000,What it should be allowed to set off again during the upcoming New Year's Eve are decorative fireworks.
nl_7_0001000,What there should be is an additional tax on purchasing meat.
nl_8_0001000,What less funding should go to is public broadcasting.
nl_9_0001000,What there should be instead of the existing health insurance companies is a national healthcare fund for everyone.
nl_10_0001000,What the government should abolish is the ban on face-covering clothing.
nl_11_0001000,"What the national government, rather than provinces and municipalities, should decide is where new residential areas are built."
nl_12_0001000,What the government should reduce to 5 percent is the VAT on cultural activities.
nl_13_0001000,What the Netherlands should build is a new nuclear power plant.
nl_14_0001000,Where houses should be built is on land currently used for agriculture.
nl_15_0001000,"What households with two partners, one of whom works, should receive are the same tax benefits as households with two working partners."
nl_16_0001000,What the Dutch government should apologize for is the historical slave trade.
nl_17_0001000,What citizens should have is the opportunity to block laws passed by parliament through a referendum.
nl_18_0001000,What primary school teachers should earn is as much as secondary school teachers.
nl_19_0001000,What there should be are fewer options for community service sentences instead of prison sentences.
nl_20_0001000,What the Netherlands should introduce for short-distance flights is an additional flight tax.
nl_21_0001000,What asylum seekers with a temporary residence permit should complete before getting a rental home is integration.
nl_22_0001000,What should be legalized are both the purchase and sale of soft drugs by coffee shops.
nl_23_0001000,What the government should make more frequently mandatory at universities and colleges is Dutch-language education.
nl_24_0001000,What people who consider their lives complete should be able to receive is assistance with suicide.
nl_25_0001000,What an increase in minimum wages should no longer automatically result in is an increase in welfare benefits.
nl_26_0001000,What new residential areas should consist of is at least 40 percent green space.
nl_27_0001000,What there should be are no new restrictions on the activities of farming businesses.
nl_28_0001000,"What should be established so that students make a choice between vocational education, general secondary education, or pre-university education at a later age is a middle school."
nl_29_0001000,What the Netherlands should accept are more refugees than it currently does.
nl_30_0001000,What people should always have is the choice of whether to wear a face mask.
es_1_0001000,What limiting rights and freedoms is necessary to combat is organized crime.
es_2_0001000,What the growth of Islam is a threat to is Spain's security.
es_3_0001000,What current gender policies are biased against is men.
es_4_0001000,What improves when they are privatized is the efficiency of public services.
es_5_0001000,What it should be easier for companies to fire are workers.
es_6_0001000,What the state should take are measures to redistribute wealth from the rich to the poor.
es_7_0001000,"What the government must increase, even if this means increasing taxes, is spending on public health care."
es_8_0001000,What is necessary is a permanent tax on large fortunes and assets.
es_9_0001000,What should be reduced without reducing workers' wages is the working day.
es_10_0001000,What governments should intervene as little as possible in is the economy.
es_11_0001000,What taxes on fossil fuels must be raised to finance is the Green Transition.
es_12_0001000,What climate change is solely attributable to is human action.
es_13_0001000,What the future Spanish government should increase by means of large water transfers is irrigated agricultural areas.
es_14_0001000,What we must recover to better defend Spain's interests in Europe is more sovereignty.
es_15_0001000,What the Spanish government should promote is the strengthening of NATO in Europe.
es_16_0001000,What the best way to solve the conflict in Catalonia is is for its citizens to be able to vote on their future in a referendum.
es_17_0001000,What negotiating with pro-independence supporters weakens is the State.
