ID,statement
nl_1_0001000,It is a vaccination certificate that organizers of events should be able to request upon entry.
nl_2_0001000,It is more money on defense that the Netherlands should spend.
nl_3_0001000,It is for all parents that childcare should be free for at least three days a week.
nl_4_0001000,It is the European Union (EU) that the Netherlands should exit.
nl_5_0001000,It is a tax per kilometer driven for motorists that there should be instead of the tax on car ownership.
nl_6_0001000,It is decorative fireworks that it should be allowed to set off again during the upcoming New Year's Eve.
nl_7_0001000,It is an additional tax on purchasing meat that there should be.
nl_8_0001000,It is public broadcasting that less funding should go to.
nl_9_0001000,It is a national healthcare fund for everyone that there should be instead of the existing health insurance companies.
nl_10_0001000,It is the ban on face-covering clothing that the government should abolish.
nl_11_0001000,"It is where new residential areas are built that the national government, rather than provinces and municipalities, should decide."
nl_12_0001000,It is the VAT on cultural activities that the government should reduce to 5 percent.
nl_13_0001000,It is a new nuclear power plant that the Netherlands should build.
nl_14_0001000,It is on land currently used for agriculture that Houses should be built.
nl_15_0001000,"It is the same tax benefits as households with two working partners that households with two partners, one of whom works, should receive."
nl_16_0001000,It is the historical slave trade that the Dutch government should apologize for.
nl_17_0001000,It is the opportunity to block laws passed by parliament through a referendum that citizens should have.
nl_18_0001000,It is as much as secondary school teachers that primary school teachers should earn.
nl_19_0001000,It is fewer options for community service sentences instead of prison sentences that there should be.
nl_20_0001000,It is an additional flight tax for short-distance flights that the Netherlands should introduce.
nl_21_0001000,It is integration that asylum seekers with a temporary residence permit should complete before getting a rental home.
nl_22_0001000,It is both the purchase and sale of soft drugs by coffee shops that should be legalized.
nl_23_0001000,It is Dutch-language education that the government should make more frequently mandatory at universities and colleges.
nl_24_0001000,It is assistance with suicide that people who consider their lives complete should be able to receive.
nl_25_0001000,It is an increase in welfare benefits that an increase in minimum wages should no longer automatically result in.
nl_26_0001000,It is at least 40 percent green space that new residential areas should consist of.
nl_27_0001000,It is no new restrictions on the activities of farming businesses that there should be.
nl_28_0001000,"It is a middle school that should be established so that students make a choice between vocational education, general secondary education, or pre-university education at a later age."
nl_29_0001000,It is more refugees than it currently does that the Netherlands should accept.
nl_30_0001000,It is the choice of whether to wear a face mask that people should always have.
es_1_0001000,It is organized crime that limiting rights and freedoms is necessary to combat.
es_2_0001000,It is Spain's security that the growth of Islam is a threat to.
es_3_0001000,It is men that current gender policies are biased against.
es_4_0001000,It is the efficiency of public services that improves when they are privatized.
es_5_0001000,It is workers that it should be easier for companies to fire.
es_6_0001000,It is measures that the state should take to redistribute wealth from the rich to the poor.
es_7_0001000,"It is spending on public health care that the government must increase, even if this means increasing taxes."
es_8_0001000,It is a permanent tax on large fortunes and assets that is necessary.
es_9_0001000,It is the working day that should be reduced without reducing workers' wages.
es_10_0001000,It is the economy that governments should intervene as little as possible in.
es_11_0001000,It is the Green Transition that taxes on fossil fuels must be raised to finance.
es_12_0001000,It is human action that climate change is solely attributable to.
es_13_0001000,It is irrigated agricultural areas that the future Spanish government should increase by means of large water transfers.
es_14_0001000,It is more sovereignty that we must recover to better defend Spain's interests in Europe.
es_15_0001000,It is the strengthening of NATO in Europe that the Spanish government should promote.
es_16_0001000,It is for its citizens to be able to vote on their future in a referendum that the best way to solve the conflict in Catalonia is.
es_17_0001000,It is the State that negotiating with pro-independence supporters weakens.
es_18_0001000,It is Spain's territorial decentralization that must be deepened.
es_19_0001000,It is the right to self-determination that must be recognized by the Constitution.
es_20_0001000,It is Spanish that the policies of linguistic immersion in the native language of bilingual Autonomous Communities endanger.
es_21_0001000,It is the Law of Democratic Memory passed during this legislature that it is necessary to repeal.
es_22_0001000,It is illegal migration that Spain should be more tolerant with.
es_23_0001000,It is immigrants' own health services that immigrants should pay for.
es_24_0001000,It is access for all people that housing prices must be regulated to ensure.
de_1_0001000,It is on all highways that a general speed limit is to apply.
de_2_0001000,It is German defense spending that Germany is to increase.
de_3_0001000,It is Bundestag elections that young people over the age of 16 are to be allowed to vote in.
de_4_0001000,It is subsidies for wind energy that are to be ended.
de_5_0001000,It is the ability of landlords to increase housing rents that is to be more strictly limited by law.
de_6_0001000,It is Covid-19 vaccines that are to continue to be protected by patents.
de_7_0001000,It is the phase-out of coal-fired power generation planned for 2038 that is to be brought forward.
de_8_0001000,It is the statutory pension scheme that all employed persons are to be required to be insured in.
de_9_0001000,It is the right of recognized refugees to join their families that is to be abolished.
de_10_0001000,It is revenue generated in Germany from digital services that a national tax is to be levied on.
de_11_0001000,"It is the traditional family of father, mother and children that is to be promoted more strongly than other living arrangements."
de_12_0001000,It is donations from companies to political parties that should continue to be permitted.
de_13_0001000,It is BAföG that students should receive regardless of their parents' income.
de_14_0001000,"It is a second citizenship in addition to the German one that it should generally be possible to have in Germany."
de_15_0001000,It is different gender identities that federal authorities are to take linguistic account of in their publications.
de_16_0001000,"It is the Nord Stream 2 Baltic Sea pipeline, which transports gas from Russia to Germany that is to be allowed to go into operation as planned."
de_17_0001000,It is the solidarity surcharge that is to be abolished completely.
de_18_0001000,It is headscarves that female civil servants are to be allowed to wear while on duty.
de_19_0001000,It is in the long term that the registration of new cars with combustion engines should also be possible.
de_20_0001000,It is more responsibilities in school policy that the federal government is to be given.
de_21_0001000,It is more financial support for projects to combat anti-Semitism that the federal government is to provide.
de_22_0001000,It is contracts for the expansion of the communications infrastructure in Germany that Chinese companies should not be allowed to receive.
de_23_0001000,It is church tax that the state should continue to collect for religious communities.
de_24_0001000,It is the controlled sale of cannabis that is to be generally permitted.
de_25_0001000,It is the European Union that Germany is to leave.
de_26_0001000,It is the state lists of the parties for the elections to the German Bundestag that are to have to be filled alternately by women and men.
de_27_0001000,It is inpatient treatment in hospitals that is to continue to be charged on the basis of a flat rate per case.
de_28_0001000,It is high assets that a tax is to be levied again on.
de_29_0001000,It is video surveillance in public places that facial recognition software should be allowed to be used for.
de_30_0001000,It is tax breaks that Married couples without children should continue to receive.
de_31_0001000,It is organic agriculture that should be promoted more strongly than conventional agriculture.
de_32_0001000,It is Islamic associations that are to be able to be recognized by the state as religious communities.
de_33_0001000,It is the government-set price for CO2 emissions from heating and driving that is to rise more than planned.
de_34_0001000,It is the debt brake in the Basic Law that is to be retained.
de_35_0001000,It is politically persecuted persons that asylum is to continue to be granted only to.
de_36_0001000,It is the statutory minimum wage that is to be increased to at least 12 euros by 2022 at the latest.
de_37_0001000,It is air traffic that is to be taxed more heavily.
de_38_0001000,It is for themselves that companies are to decide whether to allow their employees to work from home.
pl_1_0001000,It is Polish domestic policy that the European Union should have less influence on.
pl_2_0001000,It is the effects of inflation on citizens that social transfers should be increased to reduce.
pl_3_0001000,It is private visits to specialists that the state should finance if the waiting time at a public facility exceeds three months.
pl_4_0001000,It is a free nursery place that the state should provide for every child.
pl_5_0001000,It is the content covered in the curriculum that schools should have more freedom to choose.
pl_6_0001000,It is low-rent apartments that the state should build for rent.
pl_7_0001000,It is top earners that taxes should be increased for.
pl_8_0001000,"It is early retirement that should be introduced for those who have worked a certain number of years, regardless of their age."
pl_9_0001000,It is abortion laws that should be liberalized.
pl_10_0001000,It is the same health premium that all entrepreneurs should pay regardless of income.
pl_11_0001000,It is regardless of turnout that the result of any nationwide referendum should be binding.
pl_12_0001000,It is the migrant relocation solutions adopted by the European Union that Poland should adopt.
pl_13_0001000,It is the independence of the judiciary from parliament and the government that should be strengthened.
pl_14_0001000,It is the share of defense spending in Poland's GDP that should be further increased.
pl_15_0001000,It is the powers of local governments that should be increased at the expense of the central government.
pl_16_0001000,It is coal mining that Poland should move away from no later than 2040.
pl_17_0001000,It is grain imports from Ukraine that Poland should have blocked.
pl_18_0001000,It is state social policy that Christian values should be the basis of.
pl_19_0001000,It is public media funding from the state budget that should be limited.
pl_20_0001000,It is the powers of the secret services to track the activities of citizens on the Internet that should be limited.
hu_1_0001000,It is Hungary's sovereignty that the EU's rule of law mechanism threatens.
hu_2_0001000,It is Hungarian economic interests that Hungarian foreign policy should be guided solely by.
hu_3_0001000,It is by referendum that Hungary should decide whether to remain part of the EU.
hu_4_0001000,"It is environmental influences (e.g. media content, sensitising activities) that gender identity can be influenced by."
hu_5_0001000,It is stronger state regulation of the work of NGOs supported by foreign organisations that is needed.
hu_6_0001000,It is the European Public Prosecutor's Office that Hungary should join.
hu_7_0001000,It is stricter regulation of interception software (e.g. Pegasus) that is needed (e.g. subject to judicial authorisation).
hu_8_0001000,It is more effective law enforcement that disclosure of the origin of criminals is needed for.
