ID,statement
nl_1_0110000,It is a vaccination certificate that should be able to be requested by organizers of events upon entry.
nl_2_0110000,It is more money on defense that should be spent by the Netherlands.
nl_3_0110000,It is all parents that should have free childcare for at least three days a week.
nl_4_0110000,It is the European Union (EU) that should be exited by the Netherlands.
nl_5_0110000,It is a tax per kilometer driven for motorists that should be introduced instead of the tax on car ownership.
nl_6_0110000,It is decorative fireworks that should be allowed to be set off again during the upcoming New Year's Eve.
nl_7_0110000,It is an additional tax that should be imposed on purchasing meat.
nl_8_0110000,It is public broadcasting that should be given less funding.
nl_9_0110000,It is a national healthcare fund for everyone that should be established instead of the existing health insurance companies.
nl_10_0110000,It is the ban on face-covering clothing that should be abolished by the government.
nl_11_0110000,"It is where new residential areas are built that should be decided by the national government, rather than provinces and municipalities."
nl_12_0110000,It is the VAT on cultural activities that should be reduced by the government to 5 percent.
nl_13_0110000,It is a new nuclear power plant that should be built by the Netherlands.
nl_14_0110000,
nl_15_0110000,"It is the same tax benefits as households with two working partners that should be received by households with two partners, one of whom works."
nl_16_0110000,It is the historical slave trade that should be apologized for by the Dutch government.
nl_17_0110000,It is the opportunity to block laws passed by parliament through a referendum that should be given to citizens.
nl_18_0110000,It is as much as secondary school teachers that should be earned by primary school teachers.
nl_19_0110000,
nl_20_0110000,It is an additional flight tax for short-distance flights that should be introduced by the Netherlands.
nl_21_0110000,It is integration that should be completed by asylum seekers with a temporary residence permit before getting a rental home.
nl_22_0110000,It is both the purchase and sale of soft drugs by coffee shops that should be legalized by the government.
nl_23_0110000,It is Dutch-language education that should be made more frequently mandatory at universities and colleges by the government.
nl_24_0110000,It is assistance with suicide that should be able to be received by people who consider their lives complete.
nl_25_0110000,It is an increase in welfare benefits that should no longer automatically be the result of an increase in minimum wages.
nl_26_0110000,
nl_27_0110000,It is no new restrictions on the activities of farming businesses that should be imposed.
nl_28_0110000,"It is a middle school that relative authorities should establish so that students make a choice between vocational education, general secondary education, or pre-university education at a later age."
nl_29_0110000,It is more refugees than it currently does that should be accepted by the Netherlands.
nl_30_0110000,
es_1_0110000,
es_2_0110000,
es_3_0110000,
es_4_0110000,
es_5_0110000,
es_6_0110000,It is measures that should be taken by the state to redistribute wealth from the rich to the poor.
es_7_0110000,"It is spending on public health care that must be increased by the government, even if this means increasing taxes."
es_8_0110000,
es_9_0110000,It is the working day that should be reduced without reducing workers' wages.
es_10_0110000,It is the economy that should be intervened by governments as little as possible.
es_11_0110000,It is the Green Transition that the government should raise taxes on fossil fuels to finance.
es_12_0110000,
es_13_0110000,It is irrigated agricultural areas that should be increased by the future Spanish government by means of large water transfers.
es_14_0110000,It is more sovereignty that must be recovered by us to better defend Spain's interests in Europe.
es_15_0110000,It is the strengthening of NATO in Europe that should be promoted by the Spanish government.
es_16_0110000,It is for its citizens' future to be able to be voted on by themselves in a referendum that the best way to solve the conflict in Catalonia is.
es_17_0110000,It is the State that is weakened by negotiating with pro-independence supporters.
es_18_0110000,It is Spain's territorial decentralization that must be deepened by relative authorities.
es_19_0110000,It is the right to self-determination that the Constitution must recognize.
es_20_0110000,It is Spanish that is endangered by the policies of linguistic immersion in the native language of bilingual Autonomous Communities.
es_21_0110000,It is the Law of Democratic Memory passed during this legislature that be repealed is necessary.
es_22_0110000,
es_23_0110000,It is immigrants' own health services that should be paid by themselves.
es_24_0110000,It is access for all people that housing prices must be regulated by relative authorities to ensure.
de_1_0110000,It is all highways that are to have a general speed limit applied to them.
de_2_0110000,It is German defense spending that is to be increased by themselves.
de_3_0110000,It is Bundestag elections that the government should allow young people over the age of 16 to vote in.
de_4_0110000,It is subsidies for wind energy that the government is to end.
de_5_0110000,It is the ability of landlords to increase housing rents that the law is to limit more strictly.
de_6_0110000,It is covid-19 vaccines that patents are to continue to protect.
de_7_0110000,It is the phase-out of coal-fired power generation planned for 2038 that the government is to bring forward.
de_8_0110000,It is the statutory pension scheme that the government is to require all employed persons to be insured in.
de_9_0110000,It is the right of recognized refugees to join their families that relative authorities are to abolish.
de_10_0110000,It is revenue generated in Germany from digital services that the government is to levy a national tax on.
de_11_0110000,"It is the traditional family of father, mother and children that should be promoted by the government more strongly than other living arrangements."
de_12_0110000,It is donations from companies to political parties that relative authorities should continue to permit donations from companies to political parties.
de_13_0110000,It is BAföG that should be received by students regardless of their parents' income.
de_14_0110000,
de_15_0110000,It is different gender identities that are to be taken into linguistic account by federal authorities in their publications.
de_16_0110000,"It is the Nord Stream 2 Baltic Sea pipeline, which transports gas from Russia to Germany that the government is to allow to go into operation as planned."
de_17_0110000,It is the solidarity surcharge that the government is to abolish completely.
de_18_0110000,It is headscarves that are to be allowed to be worn by female civil servants while on duty.
de_19_0110000,
de_20_0110000,
de_21_0110000,It is more financial support for projects to combat anti-Semitism that is to be provided by the federal government.
de_22_0110000,It is contracts for the expansion of the communications infrastructure in Germany that should not be allowed to be received by Chinese companies.
de_23_0110000,It is church tax that should continue to be collected by the state for religious communities.
de_24_0110000,It is the controlled sale of cannabis that is to be generally permitted by the government.
de_25_0110000,It is the European Union that is to be left by Germany.
de_26_0110000,It is the state lists of the parties for the elections to the German Bundestag that the parties are to fill alternately by women and men.
de_27_0110000,It is inpatient treatment in hospitals that hospitals are to continue to charge on the basis of a flat rate per case.
de_28_0110000,It is high assets that the government is to levy a tax on again.
de_29_0110000,It is video surveillance in public places that the government should allow facial recognition software to be used for.
de_30_0110000,It is tax breaks that should continue to be received by married couples without children.
de_31_0110000,It is organic agriculture that the government should promote more strongly than conventional agriculture.
de_32_0110000,It is Islamic associations that the state is to be able to recognize as religious communities.
de_33_0110000,
de_34_0110000,It is the debt brake in the Basic Law that the parliament is to retain.
de_35_0110000,It is politically persecuted persons that the government is to continue to grant asylum only to.
de_36_0110000,It is the statutory minimum wage that the government is to increase to at least 12 euros by 2022 at the latest.
de_37_0110000,It is air traffic that the government is to tax more heavily.
de_38_0110000,It is for themselves that whether to allow their employees to work from home is to be decided by companies.
pl_1_0110000,It is Polish domestic policy that should be less influenced by the European Union.
pl_2_0110000,It is the effects of inflation on citizens that the government should increase social transfers to reduce.
pl_3_0110000,It is private visits to specialists that should be financed by the state if the waiting time at a public facility exceeds three months.
pl_4_0110000,It is a free nursery place that should be provided by the state for every child.
pl_5_0110000,It is the content covered in the curriculum that more freedom should be given to schools to choose.
pl_6_0110000,It is low-rent apartments that should be built by the state for rent.
pl_7_0110000,It is top earners that the government should increase taxes for.
pl_8_0110000,"It is early retirement that the government should introduce for those who have worked a certain number of years, regardless of their age."
pl_9_0110000,It is abortion laws that the parliament should liberalize.
pl_10_0110000,It is the same health premium that should be paid by all entrepreneurs regardless of income.
pl_11_0110000,
pl_12_0110000,It is the migrant relocation solutions adopted by the European Union that should be adopted by Poland.
pl_13_0110000,
pl_14_0110000,It is the share of defense spending in Poland's GDP that the government should further increase.
pl_15_0110000,
pl_16_0110000,
pl_17_0110000,It is grain imports from Ukraine that should be blocked by Poland.
pl_18_0110000,
pl_19_0110000,It is public media funding from the state budget that the government should limit.
pl_20_0110000,It is the powers of the secret services to track the activities of citizens on the Internet that relative authorities should limit.
hu_1_0110000,It is Hungary's sovereignty that is threatened by the EU's rule of law mechanism.
hu_2_0110000,It is Hungarian economic interests that should guide Hungarian foreign policy solely.
hu_3_0110000,It is by referendum that whether to remain part of the EU should be decided by Hungary.
hu_4_0110000,"It is environmental influences (e.g. media content, sensitising activities) that can influence gender identity."
hu_5_0110000,It is stronger state regulation of the work of NGOs supported by foreign organisations that the state need to implement.
hu_6_0110000,It is the European Public Prosecutor's Office that should be joined by Hungary.
hu_7_0110000,
hu_8_0110000,It is more effective law enforcement that needs the disclosure of the origin of criminals.
hu_9_0110000,It is 18 that the government should raise the age of compulsory schooling back to.
hu_10_0110000,It is at least the OECD average of 5.2 per cent (GDP) that the government should increase education spending to.
hu_11_0110000,It is teachers' salaries that should be doubled by relative authorities.
hu_12_0110000,It is political influence that changing the university model (reorganisation into a trust) has reduced.
hu_13_0110000,It is only men and women that the government should allow to marry.
hu_14_0110000,It is a closer ratio of men to women that should be striven for by parties when lists are drawn up.
hu_15_0110000,It is targeted measures that should be taken by the state to promote equal participation of fathers and mothers in child-rearing.
hu_16_0110000,It is the Istanbul Convention which combats violence against women and domestic violence that should be ratified by the Hungarian government.
hu_17_0110000,
hu_18_0110000,It is comprehensive public procurement reform that the government needs to implement (e.g. opening up large-scale centralised public procurement to smaller firms).
hu_19_0110000,
hu_20_0110000,It is the labour market that people are helped by public employment to re-enter.
hu_21_0110000,
hu_22_0110000,
hu_23_0110000,It is the current three-month unemployment benefit that the government should extend.
hu_24_0110000,
hu_25_0110000,
hu_28_0110000,It is in Hungary that Hungary should legalise the use of medical cannabis.
hu_29_0110000,It is an independent Ministry of Health that the government should establish.
hu_30_0110000,It is the President of the Hungarian Republic that voters should directly elect.
hu_31_0110000,"It is comprehensive reform of the electoral system (redrawing of district boundaries, abolition of winner-take-all compensation, extension of postal voting) that the government needs to implement."
hu_32_0110000,It is a legal framework for primary elections that the government should provide.
hu_33_0110000,
hu_34_0110000,
hu_36_0110000,It is polluting companies that the government should tax more heavily.
hu_37_0110000,"It is car traffic that the government should limit through various measures (P+R parking, construction of cycle paths, improvement of public transport) in larger cities."
hu_38_0110000,It is a broad social dialogue that is needed by the redevelopment of urban green spaces (e.g. the Liget project in Budapest).
hu_39_0110000,It is an independent ministry for the environment that needs to be established by the government.
