ID,statement
nl_1_0100000,Event organizers should not require vaccination certificates at entry.
nl_2_0100000,The Netherlands should not spend more money on defense.
nl_3_0100000,Child care should not become free for all parents at least three days a week.
nl_4_0100000,The Netherlands should not leave the European Union (EU).
nl_5_0100000,There should not be a tax per kilometer driven for motorists instead of the tax on car ownership.
nl_6_0100000,Next New Year's Eve it should not be allowed to set off decorative fireworks again.
nl_7_0100000,There should be a no additional tax on buying meat. 
nl_8_0100000,There should not be less money for public broadcasting.
nl_9_0100000,There should not be a national health care fund for everyone instead of the existing health insurance companies.
nl_10_0100000,The government should not abolish the ban on face-covering clothing.
nl_11_0100000,The national government should not decide where new residential areas are built instead of provinces and municipalities.
nl_12_0100000,The government should not reduce VAT on cultural activities to 5 percent.
nl_13_0100000,The Netherlands should not build a new nuclear power plant.
nl_14_0100000,No housing should be built on land now used for agriculture.
nl_15_0100000,Households with two partners of which one works should not receive the same tax benefit as households with two working partners.
nl_16_0100000,The Dutch government should not apologize for the slave trade in the past.
nl_17_0100000,Citizens should not be allowed to stop laws passed by parliament through a referendum.
nl_18_0100000,Teachers in elementary schools should not start earning as much as teachers in secondary schools.
nl_19_0100000,There should not be fewer opportunities to impose community service instead of prison sentences.
nl_20_0100000,The Netherlands should not introduce an additional air tax for short-haul flights.
nl_21_0100000,Asylum seekers with provisional residence permits should not have to integrate before they are given rental housing.
nl_22_0100000,Both purchase and sale of soft drugs by coffee shops should not become legal.
nl_23_0100000,The government should no longer make education in Dutch compulsory at universities and colleges.
nl_24_0100000,People who consider their lives complete should not be able to get help with suicide.
nl_25_0100000,Raising minimum wages should still automatically increase welfare payments.
nl_26_0100000,New housing developments should not consist of at least 40 percent social housing.
nl_27_0100000,There should be new restrictions on farm activities.
nl_28_0100000,"There should be no middle school, so that pupils do not have to choose between vmbo, havo or vwo at a later age."
nl_29_0100000,The Netherlands should not accept more refugees than it does now.
nl_30_0100000,People should not always be able to choose whether to wear a mouthpiece.
es_1_0100000,It is not necessary to limit rights and freedoms to combat organized crime.
es_2_0100000,The growth of Islam is not a threat to Spain's security.
es_3_0100000,Current gender policies are not against men.
es_4_0100000,Efficiency in the provision of public services does not improve when they are privatized.
es_5_0100000,It should not be easier for companies to lay off workers.
es_6_0100000,The state should not take measures to redistribute wealth from the rich to the poor.
es_7_0100000,The government should not increase spending on the public health system even if this means increasing taxes.
es_8_0100000,There is no need for a permanent tax on large fortunes and wealth.
es_9_0100000,Working hours should not be reduced without reducing workers' wages.
es_10_0100000,Governments should not intervene as little as possible in the economy.
es_11_0100000,Taxes on fossil fuels should not be raised to finance the Ecological Transition.
es_12_0100000,Climate change is not solely attributable to human action.
es_13_0100000,The future Spanish government should not increase agricultural irrigated areas through large water transfers.
es_14_0100000,"In order to better defend Spain's interests in Europe, we should not recover more sovereignty."
es_15_0100000,The Spanish government should not promote the strengthening of NATO in Europe.
es_16_0100000,The best way to solve the conflict in Catalonia is that its citizens cannot vote on their future in a referendum.
es_17_0100000,Negotiating with the independentistas does not weaken the State.
es_18_0100000,There is no need to deepen the territorial decentralization of Spain.
es_19_0100000,The right of self-determination should not be recognized by the Constitution.
es_20_0100000,The policies of linguistic immersion in the language of the bilingual Autonomous Communities do not endanger Spanish.
es_21_0100000,It is not necessary to repeal the Law of Democratic Memory passed during this legislature.
es_22_0100000,Spain should not be more tolerant of illegal immigration.
es_23_0100000,Immigrants should not have to pay for their health services.
es_24_0100000,Housing prices should not be regulated to guarantee access to all people.
de_1_0100000,No general speed limit should apply on all highways.
de_2_0100000,Germany should not increase its defense spending.
de_3_0100000,Young people aged 16 and over should not be allowed to vote in federal elections.
de_4_0100000,The promotion of wind energy should not be ended.
de_5_0100000,The ability of landlords to increase rents should not be more strictly limited by law.
de_6_0100000,Vaccines against Covid-19 should not continue to be protected by patents.
de_7_0100000,The phase-out of coal-fired power generation planned for 2038 should not be brought forward.
de_8_0100000,People in employment should not necessarily have to be insured under the statutory pension scheme.
de_9_0100000,The right of recognized refugees to family reunification should not be abolished.
de_10_0100000,No national tax should be levied on the turnover generated in Germany with digital services.
de_11_0100000,"The traditional family of father, mother and children should not be promoted more than other cohabiting couples."
de_12_0100000,Donations from companies to political parties should not be permitted.
de_13_0100000,Students should receive BAföG depending on their parents' income.
de_14_0100000,"In Germany, it should generally not be possible to have a second citizenship in addition to German citizenship."
de_15_0100000,Federal authorities should not use different gender identities in their publications.
de_16_0100000,"The ""Nord Stream 2"" Baltic Sea pipeline, which transports gas from Russia to Germany, should not be allowed to go into operation as planned."
de_17_0100000,The solidarity surcharge is not to be completely abolished.
de_18_0100000,Female civil servants should not be allowed to wear headscarves on duty.
de_19_0100000,The registration of new cars with combustion engines should no longer be possible in the long term.
de_20_0100000,The federal government should not be given more responsibilities in school policy.
de_21_0100000,The federal government should not provide more financial support for projects to combat anti-Semitism.
de_22_0100000,Chinese companies should be allowed to receive contracts for the expansion of the communications infrastructure in Germany.
de_23_0100000,The state should not collect church tax for religious communities.
de_24_0100000,The controlled sale of cannabis should not be permitted.
de_25_0100000,Germany should not leave the European Union.
de_26_0100000,The state lists of the parties for the elections to the German Bundestag should not have to be filled alternately by women and men.
de_27_0100000,Inpatient treatment in hospitals should not be charged at a flat rate per case. 
de_28_0100000,No tax should be levied on high assets.
de_29_0100000,No facial recognition software should be used for video surveillance in public places.
de_30_0100000,Married couples without children should not continue to receive tax breaks.
de_31_0100000,Organic farming should not be promoted more than conventional farming.
de_32_0100000,Islamic associations should not be able to be recognized by the state as religious communities.
de_33_0100000,The state-fixed price for CO2 emissions from heating and driving should not increase more than planned.
de_34_0100000,The debt brake in the Basic Law should not be retained.
de_35_0100000,Asylum should not only be granted to politically persecuted persons.
de_36_0100000,The statutory minimum wage should not be increased to at least 12 euros by 2022 at the latest.
de_37_0100000,Air traffic should not be taxed more heavily.
de_38_0100000,Companies should not decide for themselves whether to allow their employees to work from home.
pl_1_0100000,The European Union should not have less influence on Polish domestic policy.
pl_2_0100000,Social transfers should not be increased to limit the effects of inflation on citizens.
pl_3_0100000,The state should not finance private visits to specialists if the waiting time at a public facility exceeds three months.
pl_4_0100000,The state should not provide a free nursery place for every child.
pl_5_0100000,Schools should not have more freedom to choose the content covered in the curriculum.
pl_6_0100000,The state should not build low-income rental housing.
pl_7_0100000,Taxes should not be increased for top earners.
pl_8_0100000,"There should be no early retirement for those who have worked a certain number of years, regardless of their age."
pl_9_0100000,Abortion laws should not be liberalized.
pl_10_0100000,Not all entrepreneurs should pay the same amount of health premium regardless of income.
pl_11_0100000,The results of certain nationwide referendums should be binding depending on turnout.
pl_12_0100000,Poland should not adopt the migrant relocation solution adopted by the European Union.
pl_13_0100000,The independence of the judiciary from parliament and government should not be strengthened.
pl_14_0100000,The share of defense spending in Poland's GDP should not be increased further.
pl_15_0100000,The powers of local governments should not be increased at the expense of the central government.
pl_16_0100000,Poland should not move away from coal mining by 2040.
pl_17_0100000,Poland should not lead to the blocking of grain imports from Ukraine.
pl_18_0100000,Christian values should not be the basis of state social policy.
pl_19_0100000,Funding of public media from the state budget should not be restricted.
pl_20_0100000,The powers of the secret services to track the activities of citizens on the Internet should not be restricted.
hu_1_0100000,The EU's rule of law mechanism does not threaten Hungary's sovereignty.
hu_2_0100000,Hungarian foreign policy should not be driven solely by Hungarian economic interests.
hu_3_0100000,Hungary should not decide by referendum whether to remain part of the EU.
hu_4_0100000,"Gender identity should not be influenced by environmental influences (e.g. media content, sensitising activities)."
hu_5_0100000,There is no need for stronger state regulation of the work of NGOs supported by foreign organisations.
hu_6_0100000,Hungary should not join the European Public Prosecutor's Office.
hu_7_0100000,There is no need for stricter regulation of interception software (e.g. Pegasus) (e.g. subject to judicial authorisation).
hu_8_0100000,Disclosing the origin of criminals is not necessary for more effective law enforcement.
hu_9_0100000,The age of compulsory education should not be raised back to 18.
hu_10_0100000,Spending on education should not be increased to the OECD average of 5.2 per cent (of GDP).
hu_11_0100000,Teachers' salaries should not be doubled.
hu_12_0100000,The change in the university model (reorganisation into a trust) has not reduced political influence.
hu_13_0100000,Marriages should not be exclusively between men and women.
hu_14_0100000,Parties should not seek to have a close ratio of men to women when drawing up lists.
hu_15_0100000,The state should not take targeted measures to encourage fathers and mothers to share equally in child-rearing.
hu_16_0100000,The Hungarian government should not ratify the Istanbul Convention against violence against women and domestic violence.
hu_17_0100000,The conclusion of favourable gas supply contracts with Russia is not an effective way of reducing rationing.
hu_18_0100000,There is no need for comprehensive public procurement reform (e.g. opening up large-scale centralised public procurement to smaller firms).
hu_19_0100000,The wealthier should not contribute more to the public burden (abolition of the one-band tax).
hu_20_0100000,Public works do not help people to re-enter the labour market.
hu_21_0100000,"A price freeze on some basic foodstuffs (e.g. chicken tail, milk) is not the right way to fight inflation."
hu_22_0100000,Public regulation of the rental housing market is needed.
hu_23_0100000,An extension of the current three-month unemployment benefit is not necessary.
hu_24_0100000,The family tax allowance is no better way of supporting families than increasing the family allowance.
hu_25_0100000,"It is not right that the Education Office, rather than parents and kindergarten teachers, should decide on the school entry maturity of children from the age of six."
hu_28_0100000,Medical cannabis should not be legalised in Hungary.
hu_29_0100000,There should be no separate Ministry of Health.
hu_30_0100000,The President of the Hungarian Republic should not be directly elected.
hu_31_0100000,"There is no need for a comprehensive reform of the electoral system (redrawing of district boundaries, abolition of winner compensation, extension of postal voting)."
hu_32_0100000,There is no need to provide a legal framework for primary elections.
hu_33_0100000,Voting age should not be 16 or older.
hu_34_0100000,Internet should not be free for all.
hu_36_0100000,Polluting companies should not be subject to higher taxes.
hu_37_0100000,"In larger cities, there is no need to restrict car traffic through various measures (P+R parking, building cycle paths, improving public transport)."
hu_38_0100000,The redevelopment of urban green areas (e.g. the Liget project in Budapest) does not require a broad social dialogue.
hu_39_0100000,There is no need for a separate environment ministry.
hu_40_0100000,No need to introduce an animal rights commissioner.
ch_18_0100000,There should not be an increase in the retirement age.
ch_19_0100000,The federal government should not allocate more funding for health insurance premium subsidies.
ch_20_0100000,"For married couples, the pension is currently limited to 150% of the maximum individual AHV pension (capping). This limit should not be eliminated."
ch_21_0100000,"As part of the reform of the BVG (occupational pension plan), pensions are not to be reduced (lowering the minimum conversion rate from 6.8% to 6%). "
ch_22_0100000,Paid parental leave should not be increased beyond today's 14 weeks of maternity leave and two weeks of paternity leave.
ch_23_0100000,The federal government should not provide more financial support for public housing construction.
ch_24_0100000,Compulsory vaccination of children should not be introduced based on the Swiss vaccination plan.
ch_25_0100000,There should not be an introduction of a tax on foods containing sugar (sugar tax).
ch_26_0100000,"Insured persons should not contribute more to health care costs (e.g., increase the minimum deductible)."
ch_27_0100000,The Federal Council's ability to restrict private and economic life in the event of a pandemic should not be more limited.
ch_28_0100000,The federal government should not be given the authority to determine the hospital offering (national hospital planning with regard to locations and range of services).
ch_29_0100000,"According to the Swiss integrated schooling concept, children with learning difficulties or disabilities should not be taught in regular classes. "
ch_30_0100000,The federal government should not raise the requirements for the high school.
ch_31_0100000,"The state should not be more committed to equal educational opportunities (e.g., through subsidized remedial courses for students from low-income families). "
ch_32_0100000,"The conditions for naturalization should not be relaxed (e.g., shorter residence period). "
ch_33_0100000,More qualified workers from non-EU/EFTA countries should not be allowed to work in Switzerland (increase third-country quota).
ch_34_0100000,There should not be efforts to house asylum seekers in centers outside Europe during the asylum procedure.
ch_35_0100000,Foreign nationals who have lived in Switzerland for at least ten years should not be granted the right to vote and stand for election at the municipal level.
ch_36_0100000,Cannabis use should not be legalized.
ch_37_0100000,Doctors should not be allowed to administer direct active euthanasia.
ch_38_0100000,"A third official gender should not be introduced alongside ""female"" and ""male"". "
ch_39_0100000,Same-sex couples should not have the same rights as heterosexual couples in all areas.
ch_40_0100000,There should not be tax cuts at the federal level over the next four years.
ch_41_0100000,Married couples are not to be taxed separately (individual taxation).
ch_42_0100000,There should not be the introduction of a national inheritance tax on all inheritances over one million Swiss francs.
ch_43_0100000,The differences between cantons with high and low financial capacity should not be further reduced through fiscal equalization.
ch_44_0100000,"A minimum wage of CHF 4,000 for all full-time employees should not be introduced. "
ch_45_0100000,"There should not be stricter regulations for the financial sector (e.g., stricter capital requirements for banks, ban on bonuses). "
ch_46_0100000,Private households should not be free to choose their electricity supplier (complete liberalization of the electricity market).
