ID,statement
nl_1_0110000,It should be impossible for event organizers to be able to make a request for a vaccination certificate upon entry.
nl_2_0110000,
nl_3_0110000,
nl_4_0110000,The Netherlands must make its stay in the European Union (EU).
nl_5_0110000,
nl_6_0110000,"During the upcoming New Year's Eve, a ban should still be imposed on setting off decorative fireworks."
nl_7_0110000,There should be less tax on making a purchase of meat.
nl_8_0110000,
nl_9_0110000,
nl_10_0110000,The government should effect the keeping of the ban on face-covering clothing.
nl_11_0110000,"Instead of the national government, provinces and municipalities should make a decision where new housing developments are built."
nl_12_0110000,The government should effect the keeping of the current VAT on cultural activities.
nl_13_0110000,The Netherlands should effect the scrapping of nuclear power plants.
nl_14_0110000,
nl_15_0110000,
nl_16_0110000,
nl_17_0110000,
nl_18_0110000,High school teachers should have earnings as much as elementary school teachers.
nl_19_0110000,
nl_20_0110000,The Netherlands should effect the introduction of fewer flight taxes for short-haul flights.
nl_21_0110000,Asylum seekers with a temporary residence permit should be granted permission to obtain rental housing before they are integrated.
nl_22_0110000,Both purchase and sale of soft drugs by coffee shops should be given illegal authorization.
nl_23_0110000,
nl_24_0110000,
nl_25_0110000,Increasing minimum wages should automatically have the effect of increasing welfare benefits.
nl_26_0110000,New housing developments should have a proportion of up to 40 percent social housing.
nl_27_0110000,
nl_28_0110000,
nl_29_0110000,The Netherlands should effect the acceptance of fewer refugees than it does now.
nl_30_0110000,
es_1_0110000,Expanding rights and freedoms is necessary to take up the fight against organized crime.
es_2_0110000,
es_3_0110000,
es_4_0110000,
es_5_0110000,It should be harder for companies to effect the dismissal of workers.
es_6_0110000,The state should take measures to effect the increase of the gap between rich and poor.
es_7_0110000,"The government must effect a decrease in spending on public health care, even if this means not to increase taxes."
es_8_0110000,
es_9_0110000,The working day should be given an increase without increasing workers' salaries.
es_10_0110000,Governments should make as many interventions in the economy as possible.
es_11_0110000,Taxes on fossil fuels should be reduced to effect the financing of the Ecological Transition.
es_12_0110000,
es_13_0110000,The future Spanish government should effect a reduction in agricultural irrigated areas through large water transfers.
es_14_0110000,To better defend Spain's interests in Europe we must effect the cession of sovereignty.
es_15_0110000,The Spanish government should give a boost to the weakening of NATO in Europe.
es_16_0110000,The worst way to solve the conflict in Catalonia is to allow its citizens to cast a vote on their future in a referendum.
es_17_0110000,Negotiating with the independentistas effects a strengthening of the State.
es_18_0110000,
es_19_0110000,The right to self-determination must be given non-recognition by the Constitution.
