ID,statement
nl_1_0110000,It is a vaccination certificate that it should be impossible for event organizers to be able to request upon entry.
nl_2_0110000,It is less money on defense that the Netherlands should spend.
nl_3_0110000,It is for all parents that childcare should remain paying at least three days a week.
nl_4_0110000,It is the European Union (EU) that the Netherlands must remain in.
nl_5_0110000,It is a tax per kilometer driven for motorists that should not replace the existing tax on car ownership.
nl_6_0110000,It is decorative fireworks that it should remain illegal to set off again during the next turn of the year.
nl_7_0110000,It is less tax on buying meat that there should be.
nl_8_0110000,It is public broadcasting that more money must go to.
nl_9_0110000,It is a national healthcare fund for everyone that should not replace existing health insurance companies.
nl_10_0110000,It is the ban on face-covering clothing that the government should keep.
nl_11_0110000,It is where new housing developments are built that provinces and municipalities should continue to decide.
nl_12_0110000,It is the current VAT on cultural activities that the government should keep.
nl_13_0110000,It is nuclear power plants that the Netherlands should scrap.
nl_14_0110000,It is land now used for agriculture that should only be used for agriculture.
nl_15_0110000,"It is less tax benefit as households with two working partners that households with two partners, one of whom works, should receive."
nl_16_0110000,It is the historical slave trade that the current Dutch government is not responsible for.
nl_17_0110000,It is the opportunity to stop laws passed by parliament through a referendum that citizens should not have.
nl_18_0110000,It is more as elementary school teachers that high school teachers should continue to earn.
nl_19_0110000,It is more opportunities to impose community service instead of prison sentences that there should be.
nl_20_0110000,It is fewer flight taxes for short-haul flights that the Netherlands should introduce.
nl_21_0110000,It is before they are integrated that asylum seekers with a temporary residence permit should be allowed to obtain rental housing.
nl_22_0110000,It is both the purchase and sale of soft drugs by coffee shops that should remain illegal.
nl_23_0110000,It is education in Dutch that the government should make less compulsory at universities and colleges.
nl_24_0110000,It is assistance with suicide that people who find their lives complete should be denied.
nl_25_0110000,It is increases in welfare benefits that increasing minimum wages should automatically lead to.
nl_26_0110000,It is up to 40 percent social housing that new housing developments should consist of.
nl_27_0110000,It is new restrictions on farm activities that there should be.
nl_28_0110000,"It is the arrival of a middle school that is unnecessary, because students are now old enough when they have the choice between vmbo, havo or vwo."
nl_29_0110000,It is fewer refugees than it does now that the Netherlands should accept.
nl_30_0110000,"It is whether to wear a mouth guard that not the people themselves, but other agencies should choose."
es_1_0110000,It is organized crime that expanding rights and freedoms is necessary to combat.
es_2_0110000,It is Spain's security that the growth of Islam is harmless to.
es_3_0110000,It is men that current gender policies benefit.
es_4_0110000,It is the efficiency in the provision of public services that worsens when they are privatized.
es_5_0110000,It is workers that it should be harder for companies to lay off.
es_6_0110000,It is measures that the state must take to increase the gap between rich and poor.
es_7_0110000,"It is spending on public health care that the government should decrease, so as not to increase taxes."
es_8_0110000,It is eliminating the permanent tax on large fortunes and wealth that is necessary.
es_9_0110000,It is working hours that should be increased without increasing workers' salaries.
es_10_0110000,It is the economy that governments should intervene as much as possible in.
