ID,statement
nl_1_1000000,Organizers of events should be able to request a vaccination certificate upon entry.
nl_2_1000000,The Netherlands should spend more money on defense.
nl_3_1000000,Childcare should be free for all parents for at least three days a week.
nl_4_1000000,The Netherlands should exit the European Union (EU).
nl_5_1000000,"Instead of the tax on car ownership, there should be a tax per kilometer driven for motorists."
nl_6_1000000,"During the upcoming New Year's Eve, it should be allowed to set off decorative fireworks again."
nl_7_1000000,There should be an additional tax on purchasing meat.
nl_8_1000000,Less funding should go to public broadcasting.
nl_9_1000000,"Instead of the existing health insurance companies, there should be a national healthcare fund for everyone."
nl_10_1000000,The government should abolish the ban on face-covering clothing.
nl_11_1000000,"The national government, rather than provinces and municipalities, should decide where new residential areas are built."
nl_12_1000000,The government should reduce the VAT on cultural activities to 5 percent.
nl_13_1000000,The Netherlands should build a new nuclear power plant.
nl_14_1000000,Houses should be built on land currently used for agriculture.
nl_15_1000000,"Households with two partners, one of whom works, should receive the same tax benefits as households with two working partners."
nl_16_1000000,The Dutch government should apologize for the historical slave trade.
nl_17_1000000,Citizens should have the opportunity to block laws passed by parliament through a referendum.
nl_18_1000000,Primary school teachers should earn as much as secondary school teachers.
nl_19_1000000,There should be fewer options for community service sentences instead of prison sentences.
nl_20_1000000,The Netherlands should introduce an additional flight tax for short-distance flights.
nl_21_1000000,Asylum seekers with a temporary residence permit should complete integration before getting a rental home.
nl_22_1000000,Both the purchase and sale of soft drugs by coffee shops should be legalized.
nl_23_1000000,The government should make Dutch-language education more frequently mandatory at universities and colleges.
nl_24_1000000,People who consider their lives complete should be able to receive assistance with suicide.
nl_25_1000000,An increase in minimum wages should no longer automatically result in an increase in welfare benefits.
nl_26_1000000,New residential areas should consist of at least 40 percent green space.
nl_27_1000000,There should be no new restrictions on the activities of farming businesses.
nl_28_1000000,"A middle school should be established so that students make a choice between vocational education, general secondary education, or pre-university education at a later age."
nl_29_1000000,The Netherlands should accept more refugees than it currently does.
nl_30_1000000,People should always have the choice of whether to wear a face mask.
es_1_1000000,Limiting rights and freedoms is necessary to combat organized crime.
es_2_1000000,The growth of Islam is a threat to Spain's security.
es_3_1000000,Current gender policies are biased against men.
es_4_1000000,The efficiency of public services improves when they are privatized.
es_5_1000000,It should be easier for companies to fire workers.
es_6_1000000,The state should take measures to redistribute wealth from the rich to the poor.
es_7_1000000,"The government must increase spending on public health care, even if this means increasing taxes."
es_8_1000000,A permanent tax on large fortunes and assets is necessary.
es_9_1000000,The working day should be reduced without reducing workers' wages.
es_10_1000000,Governments should intervene as little as possible in the economy.
es_11_1000000,Taxes on fossil fuels must be raised to finance the Green Transition.
es_12_1000000,Climate change is solely attributable to human action.
es_13_1000000,The future Spanish government should increase irrigated agricultural areas by means of large water transfers.
es_14_1000000,To better defend Spain's interests in Europe we must recover more sovereignty.
es_15_1000000,Spanish government should promote the strengthening of NATO in Europe.
es_16_1000000,The best way to solve the conflict in Catalonia is for its citizens to be able to vote on their future in a referendum.
es_17_1000000,Negotiating with pro-independence supporters weakens the State.
es_18_1000000,Spain's territorial decentralization must be deepened.
es_19_1000000,The right to self-determination must be recognized by the Constitution.
es_20_1000000,The policies of linguistic immersion in the native language of bilingual Autonomous Communities endanger Spanish.
es_21_1000000,It is necessary to repeal the Law of Democratic Memory passed during this legislature.
es_22_1000000,Spain should be more tolerant with illegal migration.
es_23_1000000,Immigrants should pay for their own health services.
es_24_1000000,Housing prices must be regulated to ensure access for all people.
de_1_1000000,A general speed limit is to apply on all highways.
de_2_1000000,Germany is to increase its defense spending.
de_3_1000000,Young people over the age of 16 are to be allowed to vote in Bundestag elections.
de_4_1000000,Subsidies for wind energy are to be ended.
de_5_1000000,The ability of landlords to increase housing rents is to be more strictly limited by law.
de_6_1000000,Covid-19 vaccines are to continue to be protected by patents.
de_7_1000000,The phase-out of coal-fired power generation planned for 2038 is to be brought forward.
de_8_1000000,All employed persons are to be required to be insured in the statutory pension scheme.
de_9_1000000,The right of recognized refugees to join their families is to be abolished.
de_10_1000000,A national tax is to be levied on revenue generated in Germany from digital services.
de_11_1000000,"The traditional family of father, mother and children is to be promoted more strongly than other living arrangements."
de_12_1000000,Donations from companies to political parties should continue to be permitted.
de_13_1000000,Students should receive BAföG regardless of their parents' income.
de_14_1000000,"In Germany, it should generally be possible to have a second citizenship in addition to the German one."
de_15_1000000,Federal authorities are to take linguistic account of different gender identities in their publications.
de_16_1000000,"The Nord Stream 2 Baltic Sea pipeline, which transports gas from Russia to Germany, is to be allowed to go into operation as planned."
de_17_1000000,The solidarity surcharge is to be abolished completely.
de_18_1000000,Female civil servants are to be allowed to wear headscarves while on duty.
de_19_1000000,The registration of new cars with combustion engines should also be possible in the long term.
de_20_1000000,The federal government is to be given more responsibilities in school policy.
de_21_1000000,The federal government is to provide more financial support for projects to combat anti-Semitism.
de_22_1000000,Chinese companies should not be allowed to receive contracts for the expansion of the communications infrastructure in Germany.
de_23_1000000,The state should continue to collect church tax for religious communities.
de_24_1000000,The controlled sale of cannabis is to be generally permitted.
de_25_1000000,Germany is to leave the European Union.
de_26_1000000,The state lists of the parties for the elections to the German Bundestag are to have to be filled alternately by women and men.
de_27_1000000,Inpatient treatment in hospitals is to continue to be charged on the basis of a flat rate per case. 
de_28_1000000,A tax is to be levied again on high assets.
de_29_1000000,Facial recognition software should be allowed to be used for video surveillance in public places.
de_30_1000000,Married couples without children should continue to receive tax breaks.
de_31_1000000,Organic agriculture should be promoted more strongly than conventional agriculture.
