ID,statement
nl_1_0110000,It is a vaccination certificate that organizers of events should not be able to request upon entry.
nl_2_0110000,It is more money on defense that the Netherlands should not spend.
nl_3_0110000,It is for all parents that childcare should not become free for at least three days a week.
nl_4_0110000,It is the European Union (EU) that the Netherlands should not leave.
nl_5_0110000,It is a tax per kilometer driven for motorists that there should not be instead of the tax on car ownership.
nl_6_0110000,It is decorative fireworks that it should not be allowed to set off again during the upcoming New Year's Eve.
nl_7_0110000,It is an additional tax on purchasing meat that there should not be.
nl_8_0110000,It is public broadcasting that less funding should not go to.
nl_9_0110000,It is a national health care fund for everyone that there should not be instead of the existing health insurance companies.
nl_10_0110000,It is the ban on face-covering clothing that the government should not abolish.
nl_11_0110000,"It is where new residential areas are built that the national government, rather than provinces and municipalities, should not decide."
nl_12_0110000,It is the VAT on cultural activities that the government should not reduce to 5 percent.
nl_13_0110000,It is a new nuclear power plant that the Netherlands should not build.
nl_14_0110000,It is on land currently used for agriculture that Houses should not be built.
nl_15_0110000,"It is the same tax benefits as households with two working partners that households with two partners, one of whom works, should not receive."
nl_16_0110000,It is the historical slave trade that the Dutch government should not apologize for.
nl_17_0110000,It is the opportunity to block laws passed by parliament through a referendum that citizens should not have.
nl_18_0110000,It is as much as secondary school teachers that primary school teachers should not earn.
nl_19_0110000,It is fewer options for community service sentences instead of prison sentences that there should not be.
nl_20_0110000,It is an additional flight tax for short-distance flights that the Netherlands should not introduce.
nl_21_0110000,It is integration that asylum seekers with provisional residence permits should not have to complete before they are given rental housing.
nl_22_0110000,It is both the purchase and sale of soft drugs by coffee shops that should not become legal.
nl_23_0110000,It is Dutch-language education that the government should no longer make compulsory at universities and colleges.
nl_24_0110000,It is assistance with suicide that people who consider their lives complete should not be able to receive.
nl_25_0110000,It is an increase in welfare benefits that an increase in minimum wages should automatically result in.
nl_26_0110000,It is at least 40 percent social housing that new housing developments should not consist of.
nl_27_0110000,It is new restrictions on the activities of farming businesses that there should be.
nl_28_0110000,"It is a middle school that should not be established so that pupils do not have to choose between vmbo, havo or vwo at a later age."
nl_29_0110000,It is more refugees than it currently does that the Netherlands should not accept.
nl_30_0110000,It is the choice of whether to wear a face mask that people should not always have.
es_1_0110000,It is organized crime that limiting rights and freedoms is not necessary to combat.
es_2_0110000,It is Spain's security that the growth of Islam is not a threat to.
es_3_0110000,It is men that current gender policies are not against.
es_4_0110000,It is the efficiency of public services that does not improve when they are privatized.
es_5_0110000,It is workers that it should not be easier for companies to fire.
es_6_0110000,It is measures that the state should not take to redistribute wealth from the rich to the poor.
es_7_0110000,"It is spending on public health care that the government should not increase, even if this means increasing taxes."
es_8_0110000,It is a permanent tax on large fortunes and assets that is not necessary.
es_9_0110000,It is the working day that should not be reduced without reducing workers' wages.
es_10_0110000,It is the economy that governments should not intervene as little as possible in.
es_11_0110000,It is the Green Transition that taxes on fossil fuels should not be raised to finance.
es_12_0110000,It is human action that climate change is not solely attributable to.
es_13_0110000,It is irrigated agricultural areas that the future Spanish government should not increase by means of large water transfers.
es_14_0110000,It is more sovereignty that we should not recover to better defend Spain's interests in Europe.
es_15_0110000,It is the strengthening of NATO in Europe that the Spanish government should not promote.
es_16_0110000,It is for its citizens not to be able to vote on their future in a referendum that the best way to solve the conflict in Catalonia is.
es_17_0110000,It is the State that negotiating with pro-independence supporters does not weaken.
es_18_0110000,It is Spain's territorial decentralization that there is no need to deepen.
es_19_0110000,It is the right to self-determination that should not be recognized by the Constitution.
es_20_0110000,It is Spanish that the policies of linguistic immersion in the native language of bilingual Autonomous Communities do not endanger.
es_21_0110000,It is the Law of Democratic Memory passed during this legislature that it is not necessary to repeal.
es_22_0110000,It is illegal migration that Spain should not be more tolerant with.
es_23_0110000,It is immigrants' own health services that immigrants should not have to pay for.
es_24_0110000,It is access to all people that housing prices should not be regulated to guarantee.
de_1_0110000,It is on all highways that a general speed limit should not apply.
de_2_0110000,It is German defense spending that Germany should not increase.
de_3_0110000,It is Bundestag elections that Young people over the age of 16 are not to be allowed to vote in.
de_4_0110000,It is subsidies for wind energy that should not be ended.
de_5_0110000,It is the ability of landlords to increase housing rents that should not be more strictly limited by law.
de_6_0110000,It is Covid-19 vaccines that should not continue to be protected by patents.
de_7_0110000,It is the phase-out of coal-fired power generation planned for 2038 that should not be brought forward.
de_8_0110000,It is the statutory pension scheme that all employed persons should not necessarily have to be insured under.
de_9_0110000,It is the right of recognized refugees to join their families that should not be abolished.
de_10_0110000,It is revenue generated in Germany from digital services that a national tax should not be levied on.
de_11_0110000,"It is the traditional family of father, mother and children that should not be promoted more than other cohabiting couples."
de_12_0110000,It is donations from companies to political parties that should not be permitted.
de_13_0110000,It is BAföG that students should receive depending on their parents' income.
de_14_0110000,It is a second citizenship in addition to the German one that it should generally not be possible to have in Germany.
de_15_0110000,It is different gender identities that federal authorities should not use in their publications.
de_16_0110000,"It is the Nord Stream 2 Baltic Sea pipeline, which transports gas from Russia to Germany that should not be allowed to go into operation as planned."
de_17_0110000,It is the solidarity surcharge that is not to be completely abolished.
de_18_0110000,It is headscarves that female civil servants should not be allowed to wear on duty.
de_19_0110000,It is in the long term that the registration of new cars with combustion engines should no longer be possible.
de_20_0110000,It is more responsibilities in school policy that the federal government should not be given.
de_21_0110000,It is more financial support for projects to combat anti-Semitism that the federal government should not provide.
de_22_0110000,It is contracts for the expansion of the communications infrastructure in Germany that Chinese companies should be allowed to receive.
de_23_0110000,It is church tax that the state should not collect for religious communities.
de_24_0110000,It is the controlled sale of cannabis that should not be permitted.
de_25_0110000,It is the European Union that Germany should not leave.
de_26_0110000,It is the state lists of the parties for the elections to the German Bundestag that should not have to be filled alternately by women and men.
de_27_0110000,It is inpatient treatment in hospitals that should not be charged at a flat rate per case.
de_28_0110000,It is high assets that no tax should be levied on.
de_29_0110000,It is video surveillance in public places that facial recognition software should not be used for.
de_30_0110000,It is tax breaks that married couples without children should not continue to receive.
de_31_0110000,It is organic agriculture that should not be promoted more than conventional farming.
de_32_0110000,It is Islamic associations that should not be able to be recognized by the state as religious communities.
de_33_0110000,It is the government-set price for CO2 emissions from heating and driving that should not increase more than planned.
de_34_0110000,It is the debt brake in the Basic Law that should not be retained.
de_35_0110000,It is politically persecuted persons that asylum should not only be granted to.
de_36_0110000,It is the statutory minimum wage that should not be increased to at least 12 euros by 2022 at the latest.
de_37_0110000,It is air traffic that should not be taxed more heavily.
de_38_0110000,It is for themselves that companies should not decide whether to allow their employees to work from home.
pl_1_0110000,It is Polish domestic policy that the European Union should not have less influence on.
pl_2_0110000,It is the effects of inflation on citizens that social transfers should not be increased to limit.
pl_3_0110000,It is private visits to specialists that the state should not finance if the waiting time at a public facility exceeds three months.
pl_4_0110000,It is a free nursery place that the state should not provide for every child.
pl_5_0110000,It is the content covered in the curriculum that schools should not have more freedom to choose.
pl_6_0110000,It is low-rent apartments that the state should not build for rent.
pl_7_0110000,It is top earners that taxes should not be increased for.
pl_8_0110000,"It is early retirement that should not be introduced for those who have worked a certain number of years, regardless of their age."
pl_9_0110000,It is abortion laws that should not be liberalized.
pl_10_0110000,It is the same amount of health premium that not all entrepreneurs should pay regardless of income.
pl_11_0110000,It is depending on turnout that the results of certain nationwide referendums should be binding.
pl_12_0110000,It is the migrant relocation solutions adopted by the European Union that Poland should not adopt.
pl_13_0110000,It is the independence of the judiciary from parliament and the government that should not be strengthened.
pl_14_0110000,It is the share of defense spending in Poland's GDP that should not be increased further.
pl_15_0110000,It is the powers of local governments that should not be increased at the expense of the central government.
pl_16_0110000,It is coal mining that Poland should not move away from by 2040.
pl_17_0110000,It is grain imports from Ukraine that Poland should not have blocked.
pl_18_0110000,It is state social policy that Christian values should not be the basis of.
pl_19_0110000,It is public media funding from the state budget that should not be limited.
pl_20_0110000,It is the powers of the secret services to track the activities of citizens on the Internet that should not be restricted.
hu_1_0110000,It is Hungary's sovereignty that the EU's rule of law mechanism does not threaten.
hu_2_0110000,It is Hungarian economic interests that Hungarian foreign policy should not be driven solely by.
hu_3_0110000,It is by referendum that Hungary should not decide whether to remain part of the EU.
