ID,statement
nl_1_0110000,What organizers of events should not require upon entry is a vaccination certificate.
nl_2_0110000,What the Netherlands should not spend on defense is more money.
nl_3_0110000,What should not become free for all parents at least three days a week is childcare.
nl_4_0110000,What the Netherlands should not leave is the European Union (EU).
nl_5_0110000,What there should not be instead of the tax on car ownership is a tax per kilometer driven for motorists.
nl_6_0110000,What it should not be allowed to set off again during the upcoming New Year's Eve are decorative fireworks.
nl_7_0110000,What there should be is a no additional tax on purchasing meat.
nl_8_0110000,What there should not be is less money for public broadcasting.
nl_9_0110000,What there should not be instead of the existing health insurance companies is a national healthcare fund for everyone.
nl_10_0110000,What the government should not abolish is the ban on face-covering clothing.
nl_11_0110000,"What the national government, rather than provinces and municipalities, should not decide is where new residential areas are built."
nl_12_0110000,What the government should not reduce to 5 percent is the VAT on cultural activities.
nl_13_0110000,What the Netherlands should not build is a new nuclear power plant.
nl_14_0110000,Where no housing should be built is on land currently used for agriculture.
nl_15_0110000,"What households with two partners, one of whom works, should not receive are the same tax benefits as households with two working partners."
nl_16_0110000,What the Dutch government should not apologize for is the historical slave trade.
nl_17_0110000,What citizens should not be allowed to stop is the opportunity to block laws passed by parliament through a referendum.
nl_18_0110000,What primary school teachers should not start earning is as much as secondary school teachers.
nl_19_0110000,What there should not be are fewer options for community service sentences instead of prison sentences.
nl_20_0110000,What the Netherlands should not introduce for short-distance flights is an additional flight tax.
nl_21_0110000,What asylum seekers with a temporary residence permit should not have to before getting a rental home is integrate.
nl_22_0110000,What should not be legalized are both the purchase and sale of soft drugs by coffee shops.
nl_23_0110000,What the government should no longer make compulsory at universities and colleges is Dutch-language education.
nl_24_0110000,What people who consider their lives complete should not be able to get is help with suicide.
nl_25_0110000,What an increase in minimum wages should still automatically increase is an increase in welfare benefits.
nl_26_0110000,What New residential areas should not consist of is at least 40 percent social housing.
nl_27_0110000,What there should be are new restrictions on farm activities.
nl_28_0110000,"What should not be established so that students make a choice between vocational education, general secondary education, or pre-university education at a later age is a middle school."
nl_29_0110000,What the Netherlands should not accept are more refugees than it currently does.
nl_30_0110000,What people should not always be able to choose is whether to wear a face mask.
es_1_0110000,What limiting rights and freedoms is not necessary to combat is organized crime.
es_2_0110000,What the growth of Islam is not a threat to is Spain's security.
es_3_0110000,What current gender policies are not against is men.
es_4_0110000,What does not improve when they are privatized is the efficiency of public services.
es_5_0110000,What it should not be easier for companies to fire are workers.
es_6_0110000,What the state should not take are measures to redistribute wealth from the rich to the poor.
es_7_0110000,"What the government should not increase, even if this means increasing taxes, is spending on public health care."
es_8_0110000,What is not necessary is a permanent tax on large fortunes and assets.
es_9_0110000,What should not be reduced without reducing workers' wages is the working day.
es_10_0110000,What governments should not intervene as little as possible in is the economy.
es_11_0110000,What taxes on fossil fuels should not be raised to finance is the Green Transition.
es_12_0110000,What climate change is not solely attributable to is human action.
es_13_0110000,What the future Spanish government should not increase by means of large water transfers is irrigated agricultural areas.
es_14_0110000,What we should not recover to better defend Spain's interests in Europe is more sovereignty.
es_15_0110000,What the Spanish government should not promote is the strengthening of NATO in Europe.
es_16_0110000,What the best way to solve the conflict in Catalonia is is that its citizens cannot vote on their future in a referendum.
es_17_0110000,What negotiating with the independentistas does not weaken is the State.
es_18_0110000,What there is no need to deepen is Spain's territorial decentralization.
es_19_0110000,What should not be recognized by the Constitution is the right to self-determination.
es_20_0110000,What the policies of linguistic immersion in the native language of bilingual Autonomous Communities do not endanger is Spanish.
es_21_0110000,What is not necessary to repeal is the Law of Democratic Memory passed during this legislature.
es_22_0110000,What Spain should not be more tolerant of is illegal immigration.
es_23_0110000,What immigrants should not pay for are their own health services.
es_24_0110000,What housing prices should not be regulated to guarantee is access for all people.
de_1_0110000,What no general speed limit should apply is on all highways.
de_2_0110000,What Germany should not increase is its defense spending.
de_3_0110000,What young people over the age of 16 should not be allowed to vote in are Bundestag elections.
de_4_0110000,What should not be ended are subsidies for wind energy.
de_5_0110000,What should not be more strictly limited by law is the ability of landlords to increase housing rents.
de_6_0110000,What should not continue to be protected by patents are Covid-19 vaccines.
de_7_0110000,What should not be brought forward is the phase-out of coal-fired power generation planned for 2038.
de_8_0110000,What all employed persons should not necessarily have to be insured under is the statutory pension scheme.
de_9_0110000,What should not be abolished is the right of recognized refugees to join their families.
de_10_0110000,What a national tax should not be levied on is revenue generated in Germany from digital services.
de_11_0110000,"What should not be promoted more strongly than other living arrangements is the traditional family of father, mother and children."
de_12_0110000,What should not be permitted are donations from companies to political parties.
de_13_0110000,What Students should receive depending on their parents' income is BAföG.
de_14_0110000,What it should generally not be possible to have in Germany is a second citizenship in addition to the German one.
de_15_0110000,What Federal authorities should not use in their publications is different gender identities.
de_16_0110000,"What should not be allowed to go into operation as planned is the Nord Stream 2 Baltic Sea pipeline, which transports gas from Russia to Germany."
de_17_0110000,What is not to be completely abolished is the solidarity surcharge.
de_18_0110000,What female civil servants should not be allowed to wear while on duty are headscarves.
de_19_0110000,What should no longer be possible in the long term is the registration of new cars with combustion engines.
de_20_0110000,What the federal government should not be given is more responsibilities in school policy.
de_21_0110000,What the federal government should not provide is more financial support for projects to combat anti-Semitism.
de_22_0110000,What Chinese companies should be allowed to receive are contracts for the expansion of the communications infrastructure in Germany.
de_23_0110000,What the state should not collect for religious communities is church tax.
de_24_0110000,What should not be permitted is the controlled sale of cannabis.
de_25_0110000,What Germany should not leave is the European Union.
de_26_0110000,What should not have to be filled alternately by women and men are the state lists of the parties for the elections to the German Bundestag.
de_27_0110000,What should not be charged at a flat rate per case is inpatient treatment in hospitals.
de_28_0110000,What a tax should not be levied on is high assets.
de_29_0110000,What facial recognition software should not be used for is video surveillance in public places.
de_30_0110000,What married couples without children should not continue to receive are tax breaks.
de_31_0110000,What should not be promoted more than conventional farming is organic agriculture.
de_32_0110000,What should not be able to be recognized by the state as religious communities are Islamic associations.
de_33_0110000,What should not increase more than planned is the government-set price for CO2 emissions from heating and driving.
de_34_0110000,What should not be retained is the debt brake in the Basic Law.
de_35_0110000,What asylum should not only be granted to are politically persecuted persons.
de_36_0110000,What should not be increased to at least 12 euros by 2022 at the latest is the statutory minimum wage.
de_37_0110000,What should not be taxed more heavily is air traffic.
de_38_0110000,What companies should not decide for themselves is whether to allow their employees to work from home.
pl_1_0110000,What the European Union should not have less influence on is Polish domestic policy.
pl_2_0110000,What social transfers should not be increased to limit are the effects of inflation on citizens.
pl_3_0110000,What the state should not finance if the waiting time at a public facility exceeds three months are private visits to specialists.
pl_4_0110000,What the state should not provide for every child is a free nursery place.
pl_5_0110000,What schools should not have more freedom to choose is the content covered in the curriculum.
pl_6_0110000,What the state should not build for rent is low-rent apartments.
pl_7_0110000,Who taxes should not be increased for are top earners.
pl_8_0110000,"What should not be introduced for those who have worked a certain number of years, regardless of their age, is early retirement."
pl_9_0110000,What should not be liberalized are abortion laws.
pl_10_0110000,What Not all entrepreneurs should pay regardless of income is the same amount of health premium.
pl_11_0110000,What should be binding depending on turnout are the results of certain nationwide referendums.
pl_12_0110000,What Poland should not adopt is the migrant relocation solutions adopted by the European Union.
pl_13_0110000,What should not be strengthened is the independence of the judiciary from parliament and the government.
pl_14_0110000,What should not be further increased is the share of defense spending in Poland's GDP.
pl_15_0110000,What should not be increased at the expense of the central government is the powers of local governments.
pl_16_0110000,What Poland should not move away from no later than 2040 is coal mining.
pl_17_0110000,What Poland should not have blocked is grain imports from Ukraine.
pl_18_0110000,What Christian values should not be the basis of is state social policy.
pl_19_0110000,What should not be restricted is public media funding from the state budget.
pl_20_0110000,What should not be restricted are the powers of the secret services to track the activities of citizens on the Internet.
hu_1_0110000,What the EU's rule of law mechanism does not threaten is Hungary's sovereignty.
hu_2_0110000,What Hungarian foreign policy should not be driven solely by is Hungarian economic interests.
hu_3_0110000,What Hungary should not decide by referendum is whether to remain part of the EU.
hu_4_0110000,"What Gender identity should not be influenced by is environmental influences (e.g. media content, sensitising activities)"
hu_5_0110000,What is not needed is stronger state regulation of the work of NGOs supported by foreign organisations.
hu_6_0110000,What Hungary should not join is the European Public Prosecutor's Office.
hu_7_0110000,What is not needed is stricter regulation of interception software (e.g. Pegasus) (e.g. subject to judicial authorisation).
hu_8_0110000,What disclosure of the origin of criminals is not necessary for is more effective law enforcement.
hu_9_0110000,What the age of compulsory schooling should not be raised back to is 18.
hu_10_0110000,What education spending should not be increased to is at least the OECD average of 5.2 per cent (GDP).
hu_11_0110000,What should not be doubled are teachers' salaries.
hu_12_0110000,What has not been reduced by changing the university model (reorganisation into a trust) is political influence.
hu_13_0110000,Who should not be allowed to marry are only men and women.
hu_14_0110000,What Parties should not seek to have when drawing up lists is a closer ratio of men to women.
hu_15_0110000,What the state should not take to promote equal participation of fathers and mothers in child-rearing are targeted measures.
hu_16_0110000,"What the Hungarian government should not ratify is the Istanbul Convention, which combats violence against women and domestic violence."
hu_17_0110000,What is not an effective way of reducing rationing is the conclusion of favourable gas supply contracts with Russia.
hu_18_0110000,What is not needed is comprehensive public procurement reform (e.g. opening up large-scale centralised public procurement to smaller firms).
hu_19_0110000,
hu_20_0110000,What public works do not help people re-enter is the labour market.
hu_21_0110000,"What a price freeze on some basic foodstuffs (e.g. chicken tail, milk) is not the right step to fight is inflation."
hu_22_0110000,What is needed is public regulation of the rental housing market.
hu_23_0110000,What should not be extended is the current three-month unemployment benefit.
hu_24_0110000,What is no better way of supporting families than increasing the family allowance is a family tax allowance.
hu_25_0110000,"What it is not right that the Education Office, rather than parents and kindergarten teachers, decides on is the school entry maturity of children over the age of six."
hu_28_0110000,Where the use of medical cannabis should not be legalised is in Hungary.
hu_29_0110000,What should not be established is an independent Ministry of Health.
hu_30_0110000,What should not be directly elected is the President of the Hungarian Republic.
hu_31_0110000,"What is not needed is comprehensive reform of the electoral system (redrawing of district boundaries, abolition of winner compensation, extension of postal voting)."
hu_32_0110000,What there is no need to provide is a legal framework for primary elections.
hu_33_0110000,What should not be 16 or older is voting age for elections.
hu_34_0110000,What should not be free for all is internet access.
hu_36_0110000,What should not be taxed more heavily are polluting companies.
hu_37_0110000,"What should not be limited in larger cities through various measures (P+R parking, construction of cycle paths, improvement of public transport) is car traffic."
hu_38_0110000,What the redevelopment of urban green spaces (e.g. the Liget project in Budapest) does not need is a broad social dialogue.
hu_39_0110000,What is not needed is an independent ministry for the environment.
hu_40_0110000,What should not be introduced is an animal rights commissioner.
it_1_0110000,What European integration is is not an all-positive process.
it_2_0110000,What Italy should not leave is the Eurozone.
it_3_0110000,What the European Union should not have is a common foreign policy.
