ID,statement
nl_1_0110000,What organizers of events should be able to make a request for upon entry is a vaccination certificate.
nl_2_0110000,
nl_3_0110000,
nl_4_0110000,What the Netherlands should make its exit from is the European Union (EU).
nl_5_0110000,
nl_6_0110000,What it should be given permission to set off again during the upcoming New Year's Eve are decorative fireworks.
nl_7_0110000,What there should be is an additional tax on making a purchase of meat.
nl_8_0110000,
nl_9_0110000,
nl_10_0110000,What the government should effect the abolition of is the ban on face-covering clothing.
nl_11_0110000,"What the national government, rather than provinces and municipalities, should make a decision is where new residential areas are built."
nl_12_0110000,What the government should make reductions in to 5 percent is the VAT on cultural activities.
nl_13_0110000,What the Netherlands should effect the construction of is a new nuclear power plant.
nl_14_0110000,
nl_15_0110000,
nl_16_0110000,What the Dutch government should make an apology for is the historical slave trade.
nl_17_0110000,
nl_18_0110000,What primary school teachers should have is earnings as much as secondary school teachers.
nl_19_0110000,
nl_20_0110000,What the Netherlands should effect the introduction of for short-distance flights is an additional flight tax.
nl_21_0110000,What asylum seekers with a temporary residence permit should effect the completion of before getting a rental home is integration.
nl_22_0110000,What should be given legal authorization are both the purchase and sale of soft drugs by coffee shops.
nl_23_0110000,
nl_24_0110000,
nl_25_0110000,What an increase in minimum wages should no longer automatically give rise to is an increase in welfare benefits.
nl_26_0110000,What new residential areas should have a proportion of is at least 40 percent green space.
nl_27_0110000,
nl_28_0110000,
nl_29_0110000,What the Netherlands should effect the acceptance of are more refugees than it currently does.
nl_30_0110000,
es_1_0110000,What limiting rights and freedoms is necessary to take up the fight against is organized crime.
es_2_0110000,
es_3_0110000,
es_4_0110000,
es_5_0110000,What it should be easier for companies to effect the dismissal of are workers.
es_6_0110000,What the state should take are measures to effect the redistribution of wealth from the rich to the poor.
es_7_0110000,"What the government must effect an increase in, even if this means increasing taxes, is spending on public health care."
es_8_0110000,
es_9_0110000,What should be given a reduction without reducing workers' wages is the working day.
es_10_0110000,What governments should make as few interventions in as possible is the economy.
es_11_0110000,What taxes on fossil fuels must be raised to effect the financing of is the Green Transition.
es_12_0110000,
es_13_0110000,What the future Spanish government should effect an increase in by means of large water transfers is irrigated agricultural areas.
es_14_0110000,What we must effect the recovery of to better defend Spain's interests in Europe is more sovereignty.
es_15_0110000,What the Spanish government should give a boost to is the strengthening of NATO in Europe.
es_16_0110000,What the best way to solve the conflict in Catalonia is is for its citizens to be able to cast a vote on their future in a referendum.
es_17_0110000,What negotiating with pro-independence supporters effects a weakening of is the State.
es_18_0110000,
es_19_0110000,What must be given recognition by the Constitution is the right to self-determination.
es_20_0110000,What the policies of linguistic immersion in the native language of bilingual Autonomous Communities have a detrimental effect on is Spanish.
es_21_0110000,What is necessary to effect the repeal of is the Law of Democratic Memory passed during this legislature.
es_22_0110000,
es_23_0110000,What immigrants should make payments for are their own health services.
es_24_0110000,
de_1_0110000,Where a general speed limit is to take effect is across all highways.
de_2_0110000,What Germany is to effect an increase in is its defense spending.
de_3_0110000,What young people over the age of 16 are to be granted permission to vote in are Bundestag elections.
de_4_0110000,
de_5_0110000,What is to be given stricter restrictions by law is the ability of landlords to increase housing rents.
de_6_0110000,
de_7_0110000,
de_8_0110000,What all employed persons are to be given requirement for being insured in is the statutory pension scheme.
de_9_0110000,
de_10_0110000,
de_11_0110000,"What is to be given a stronger boost than other living arrangements is the traditional family of father, mother and children."
de_12_0110000,What should continue to be given permission are donations from companies to political parties.
de_13_0110000,
de_14_0110000,
de_15_0110000,
de_16_0110000,"What is to be given permission to go into operation as planned is the Nord Stream 2 Baltic Sea pipeline, which transports gas from Russia to Germany."
de_17_0110000,
de_18_0110000,What female civil servants are to be given permission to wear while on duty are headscarves.
de_19_0110000,
de_20_0110000,
de_21_0110000,What the federal government is to make provision for is more financial support for projects to combat anti-Semitism.
de_22_0110000,What Chinese companies should not be given permission to receive are contracts for the expansion of the communications infrastructure in Germany.
de_23_0110000,What the state should continue to effect the collection of for religious communities is church tax.
de_24_0110000,What is to be generally permitted is the controlled sale of cannabis given general approval.
de_25_0110000,What Germany is to make its exit from is the European Union.
de_26_0110000,
de_27_0110000,
de_28_0110000,
de_29_0110000,What facial recognition software should be given permission to be used for is video surveillance in public places.
de_30_0110000,
de_31_0110000,What should be given a stronger boost than conventional agriculture is organic agriculture.
de_32_0110000,What are to be given recognition by the state as religious communities are Islamic associations.
de_33_0110000,
de_34_0110000,
de_35_0110000,
de_36_0110000,What is to be given an increase to at least 12 euros by 2022 at the latest is the statutory minimum wage.
de_37_0110000,What is to be given heavier taxation is air traffic.
de_38_0110000,What companies are to make decision for themselves is whether to allow their employees to work from home.
pl_1_0110000,
pl_2_0110000,What social transfers should be given an increase to reduce are the effects of inflation on citizens.
pl_3_0110000,What the state should give funding for if the waiting time at a public facility exceeds three months are private visits to specialists.
pl_4_0110000,What the state should make provision for for every child is a free nursery place.
pl_5_0110000,What schools should have more freedom to make a choice of is the content covered in the curriculum.
pl_6_0110000,What the state should effect the construction of for rent is low-rent apartments.
pl_7_0110000,Who taxes should be given an increase for are top earners.
pl_8_0110000,
pl_9_0110000,
pl_10_0110000,What all entrepreneurs should make payment of regardless of income is the same health premium.
pl_11_0110000,
pl_12_0110000,What Poland should effect the adoption of is the migrant relocation solutions adopted by the European Union.
pl_13_0110000,
pl_14_0110000,What should be given a further increase is the share of defense spending in Poland's GDP.
pl_15_0110000,What should be given an increase at the expense of the central government is the powers of local governments.
pl_16_0110000,
pl_17_0110000,
pl_18_0110000,
pl_19_0110000,What should be given restrictions is public media funding from the state budget.
pl_20_0110000,What should be given restrictions are the powers of the secret services to track the activities of citizens on the Internet.
hu_1_0110000,What the EU's rule of law mechanism makes threats against is Hungary's sovereignty.
